Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Developmental Milestones,4.6.6.6.2,III.D.6.b,Identifies and Associates Object-Function Relationships,,,,PK,
Developmental Milestones,4.6.6.6.3,III.D.6.c,Understands and Applies Object-Location Relationships,,,,PK,
Standard,4.6.6.7,III.D.7,Comprehends more words than uses (ELL/DLL),,,,PK,
Developmental Milestones,4.6.6.7.1,III.D.7.a,Vocabulary Recognition,,,,PK,
Developmental Milestones,4.6.6.7.2,III.D.7.b,Passive Language Comprehension,,,,PK,
Developmental Milestones,4.6.6.7.3,III.D.7.c,Contextual Understanding,,,,PK,
Developmental Milestones,4.6.6.8,III.B.5.a,Identifies Appropriate Vocabulary,,,,PK,
Developmental Milestones,4.6.6.9,III.B.5.b,Adjusts Communication Style,,,,PK,
Developmental Milestones,4.6.6.10,III.B.5.c,Comprehends Variety in Tone,,,,PK,
Standard,4.7,LC.7,Child shows understanding of word categories and relationships among words,,,,,
Label,4.7.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.7.1.1,,Calms to the sound of a familiar song,,,,,
Label,4.7.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.7.2.1,,Joins in rhymes or songs with simple sounds,,,,,
Label,4.7.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.7.3.1,,Repeats phrases from rhymes or songs,,,,,
Label,4.7.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.7.4.1,,Participates fully in group songs or rhymes,,,,,
Label,4.7.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.7.5.1,LC.7.b,Child can arrange words with similar meanings into categories.,,,,,
Developmental Milestones,4.7.5.2,LC.7.a,"Child can differentiate between various word categories, like nouns, adjectives, and verbs.",,,,,
Developmental Milestones,4.7.5.3,LC.7.c,"Child can identify and describe relationships between words, such as synonyms, antonyms, homophones.",,,,,
Label,4.7.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.7.6.1,III.E.2,Uses grammatical rules,,,,PK,
Developmental Milestones,4.7.6.1.1,III.E.2.a,Identifies and Applies Basic Punctuation,,,,PK,
Developmental Milestones,4.7.6.1.2,III.E.2.b,Understands and Uses Verb Tenses,,,,PK,
Developmental Milestones,4.7.6.1.3,III.E.2.c,Forms and Uses Plural Nouns,,,,PK,
Cluster,4.8,LIT,Literacy,,,,,
Standard,4.8.1,LIT.1,Child demonstrates awareness that spoken language is composed of smaller segments of sound,,,,,
Label,4.8.1.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.1.1.1,,Smiles when hearing matching sounds,,,,,
Label,4.8.1.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.1.2.1,,Recognizes and matches simple rhyming patterns,,,,,
Label,4.8.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.1.3.1,,Identifies rhymes in short verses,,,,,
Label,4.8.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.1.4.1,,Creates and identifies rhyming words,,,,,
Label,4.8.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.1.5.1,LIT.1.a,Child understands and identifies different sounds in words,,,,,
Developmental Milestones,4.8.1.5.2,LIT.1.b,Child exhibits phonological awareness,,,,,
Developmental Milestones,4.8.1.5.3,LIT.1.c,Child applies sound recognition in language interaction,,,,,
Label,4.8.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.1.6.1,IV.B.2,Combines words to make compound word,,,,PK,
Developmental Milestones,4.8.1.6.1.1,IV.B.2.a,Identification of Simple Words,,,,PK,
Developmental Milestones,4.8.1.6.1.2,IV.B.2.b,Understanding Word Formation,,,,PK,
Developmental Milestones,4.8.1.6.1.3,IV.B.2.c,Application of Compound Words,,,,PK,
Standard,4.8.1.6.2,IV.B.3,Deletes words from compound word,,,,PK,
Developmental Milestones,4.8.1.6.2.1,IV.B.3.a,Recognizes Compound Words,,,,PK,
Developmental Milestones,4.8.1.6.2.2,IV.B.3.b,Separates Compound Words,,,,PK,
Developmental Milestones,4.8.1.6.2.3,IV.B.3.c,Verbal Expression of Simple Words,,,,PK,
Standard,4.8.1.6.3,IV.B.4,"Segments, blends, and deletes syllables",,,,PK,
Developmental Milestones,4.8.1.6.3.1,IV.B.4.a,Identifying Individual Syllables,,,,PK,
Developmental Milestones,4.8.1.6.3.2,IV.B.4.b,Blending Syllables Together,,,,PK,
Developmental Milestones,4.8.1.6.3.3,IV.B.4.c,Deleting Syllables,,,,PK,
Developmental Milestones,4.8.1.6.3.4,IV.B.4.d,Can compound sounds into simple words,,,,PK,
Standard,4.8.1.6.4,IV.B.5,Recognizes and produces rhyming words,,,,PK,
Developmental Milestones,4.8.1.6.4.1,IV.B.5.a,Identifies and Matches Rhyming Words,,,,PK,
Developmental Milestones,4.8.1.6.4.2,IV.B.5.b,Produces Rhyming Pairs,,,,PK,
Developmental Milestones,4.8.1.6.4.3,IV.B.5.c,Rhyme Recognition in Storytelling,,,,PK,
Developmental Milestones,4.8.1.6.4.4,IV.B.5.d,Recognizes rhyming words,,,,PK,
Standard,4.8.1.6.5,IV.B.8,Blends spoken phonemes (one syllable words with picture support),,,,PK,
Developmental Milestones,4.8.1.6.5.1,IV.B.8.a,Identifies single phonemes in spoken words,,,,PK,
Developmental Milestones,4.8.1.6.5.2,IV.B.8.b,Matches phonemes with corresponding pictures,,,,PK,
Developmental Milestones,4.8.1.6.5.3,IV.B.8.c,Combines separated phonemes into whole words,,,,PK,
Standard,4.8.1.6.6,IV.B.6,Recognizes and produces alliterative words,,,,PK,
Developmental Milestones,4.8.1.6.6.1,IV.B.6.a,Identifies Alliterative Words,,,,PK,
Developmental Milestones,4.8.1.6.6.2,IV.B.6.b,Creates Alliterative Words,,,,PK,
Developmental Milestones,4.8.1.6.6.3,IV.B.6.c,Distinguishes Non-Alliterative Words,,,,PK,
Standard,4.8.1.6.7,IV.B.7,Blends onset and rime,,,,PK,
Developmental Milestones,4.8.1.6.7.1,IV.B.7.a,Identifies and Isolates Onset Sounds,,,,PK,
Developmental Milestones,4.8.1.6.7.2,IV.B.7.b,Recognizes and Produces Rhyming Words,,,,PK,
Developmental Milestones,4.8.1.6.7.3,IV.B.7.c,Successfully Joins Onset and Rime,,,,PK,
Standard,4.8.1.6.8,IV.B.1,Separates sentences into words,,,,PK,
Developmental Milestones,4.8.1.6.8.1,IV.B.1.a,Identify Individual Words,,,,PK,
Developmental Milestones,4.8.1.6.8.2,IV.B.1.b,Understanding Sentence Structure,,,,PK,
Developmental Milestones,4.8.1.6.8.3,IV.B.1.c,Phonemic Awareness,,,,PK,
Standard,4.8.1.6.9,IV.D.4,Asks and answers questions about words,,,,PK,
Developmental Milestones,4.8.1.6.9.1,IV.D.4.a,'Identifies unfamiliar words and phrases',,,,PK,
Developmental Milestones,4.8.1.6.9.2,IV.D.4.b,'Demonstrates comprehension by responding accurately to questions about words',,,,PK,
Developmental Milestones,4.8.1.6.9.3,IV.D.4.c,'Initiates questions to understand meaning of new words',,,,PK,
Standard,4.8.1.6.10,III.C.4,Demonstrates growing understanding of sound/intonation of English language (ELL/DLL),,,,PK,
Developmental Milestones,4.8.1.6.10.1,III.C.4.a,Identifies and Responds to Different Sounds,,,,PK,
Developmental Milestones,4.8.1.6.10.2,III.C.4.b,Understands and Mimics Intonations,,,,PK,
Developmental Milestones,4.8.1.6.10.3,III.C.4.c,Recognizes Language Patterns and Rhythms,,,,PK,
Standard,4.8.1.6.11,III.C.2,Perceives differences in similar sounding words,,,,PK,
Developmental Milestones,4.8.1.6.11.1,III.C.2.a,Identification of Phonemic Variations,,,,PK,
Developmental Milestones,4.8.1.6.11.2,III.C.2.b,Auditory Discrimination,,,,PK,
Developmental Milestones,4.8.1.6.11.3,III.C.2.c,Vocabulary Expansion,,,,PK,
Developmental Milestones,4.8.1.6.11.4,III.C.2.d,Child recognizes at least 20 letter sounds.,,,,PK,
Standard,4.8.2,LIT.2,Child demonstrates an understanding of how print is used (functions of print) and the rules that govern how print works (conventions of print),,,,,
Label,4.8.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.2.1.1,,Touches and looks at images in books,,,,,
Label,4.8.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.2.2.1,,Selects books to explore with caregivers,,,,,
Label,4.8.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.2.3.1,,Brings books to adults to read together,,,,,
Label,4.8.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.2.4.1,,Chooses books based on interests,,,,,
Label,4.8.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.2.5.1,LIT.2.b,Identifies Functions of Print,,,,,
Developmental Milestones,4.8.2.5.2,LIT.2.c,Applies Conventional Rules of Print,,,,,
Developmental Milestones,4.8.2.5.3,LIT.2.a,Recognizes Basic Print Concepts,,,,,
Label,4.8.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.2.6.1,IV.E.1,Distinguishes between letters/words/pictures,,,,PK,
Developmental Milestones,4.8.2.6.1.1,IV.E.1.a,Identifies Differences Between Letters,,,,PK,
Developmental Milestones,4.8.2.6.1.2,IV.E.1.b,Differentiates Words from Other Text Elements,,,,PK,
Developmental Milestones,4.8.2.6.1.3,IV.E.1.c,Recognizes Pictures in Context,,,,PK,
Standard,4.8.2.6.2,IV.E.2,Understands print directionality,,,,PK,
Developmental Milestones,4.8.2.6.2.1,IV.E.2.a,Recognizes Left-to-Right Sequence,,,,PK,
Developmental Milestones,4.8.2.6.2.2,IV.E.2.b,Understands Top-to-Bottom Flow,,,,PK,
Developmental Milestones,4.8.2.6.2.3,IV.E.2.c,Comprehends Progression through Pages,,,,PK,
Standard,4.8.2.6.3,IV.E.5,Recognizes some familiar words,,,,PK,
Developmental Milestones,4.8.2.6.3.1,IV.E.5.a,Identifies Common Sight Words,,,,PK,
Developmental Milestones,4.8.2.6.3.2,IV.E.5.b,Phonetical Awareness,,,,PK,
Developmental Milestones,4.8.2.6.3.3,IV.E.5.c,Contextual Word Recognition,,,,PK,
Standard,4.8.2.6.4,IV.E.3,Identifies punctuation and letter case,,,,PK,
Developmental Milestones,4.8.2.6.4.1,IV.E.3.a,"Recognizes familiar punctuation symbols (periods, exclamation marks, question marks).",,,,PK,
Developmental Milestones,4.8.2.6.4.2,IV.E.3.b,Differentiates between uppercase and lowercase letters.,,,,PK,
Developmental Milestones,4.8.2.6.4.3,IV.E.3.c,Applies punctuation and letter case while writing simple sentences.,,,,PK,
Standard,4.8.2.6.5,IV.E.4,Understands sentences are comprised of words separated by spaces,,,,PK,
Developmental Milestones,4.8.2.6.5.1,IV.E.4.a,Recognizes that sentences are a combination of individual words.,,,,PK,
Developmental Milestones,4.8.2.6.5.2,IV.E.4.b,Identifies the spaces between words in a sentence.,,,,PK,
Developmental Milestones,4.8.2.6.5.3,IV.E.4.c,Differentiates between words in a sentence by visually noticing spaces.,,,,PK,
Standard,4.8.2.6.6,IV.A.4,Practices proper book-handling skills,,,,PK,
Developmental Milestones,4.8.2.6.6.1,IV.A.4.a,Demonstrates correct gripping and turning of book pages.,,,,PK,
Developmental Milestones,4.8.2.6.6.2,IV.A.4.b,"Identifies and follows the correct reading direction (left to right, top to bottom).",,,,PK,
Developmental Milestones,4.8.2.6.6.3,IV.A.4.c,Handles books with respect and care to maintain their condition.,,,,PK,
Standard,4.8.2.6.7,IV.D.2,Tells how illustrations support text,,,,PK,
Developmental Milestones,4.8.2.6.7.1,IV.D.2.a,Interpretation,,,,PK,
Developmental Milestones,4.8.2.6.7.2,IV.D.2.b,Visual Literacy,,,,PK,
Developmental Milestones,4.8.2.6.7.3,IV.D.2.c,Articulation,,,,PK,
Standard,4.8.2.6.8,IV.A.3,Understands text has meaning,,,,PK,
Developmental Milestones,4.8.2.6.8.1,IV.A.3.a,Recognizes Words and Symbols,,,,PK,
Developmental Milestones,4.8.2.6.8.2,IV.A.3.b,Connects Text to Real-Life Situations,,,,PK,
Developmental Milestones,4.8.2.6.8.3,IV.A.3.c,Comprehends Story and Content,,,,PK,
Standard,4.8.2.6.9,IV.D.14,Identifies role of author/illustrator,,,,PK,
Developmental Milestones,4.8.2.6.9.1,IV.D.14.a,Recognizes the Concept of Authorship,,,,PK,
Developmental Milestones,4.8.2.6.9.2,IV.D.14.b,Understands the Role of the Illustrator,,,,PK,
Developmental Milestones,4.8.2.6.9.3,IV.D.14.c,Differentiates Between Author and Illustrator,,,,PK,
Standard,4.8.3,LIT.3,Child identifies letters of the alphabet,,,,,
Label,4.8.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.3.1.1,,Repeats simple sounds during interactions,,,,,
Label,4.8.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.3.2.1,,Imitates words heard during book reading,,,,,
Label,4.8.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.3.3.1,,Matches sounds to pictures or letters,,,,,
Label,4.8.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.3.4.1,,Recognizes letters in books or on signs,,,,,
Label,4.8.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.3.5.1,LIT.3.a,Child recognizes upper-case letters.,,,,,
Developmental Milestones,4.8.3.5.2,LIT.3.b,Child recognizes lower-case letters.,,,,,
Developmental Milestones,4.8.3.5.3,LIT.3.c,Child distinguishes between different letters.,,,,,
Label,4.8.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.3.6.1,IV.C.1,Names letters,,,,PK,
Developmental Milestones,4.8.3.6.1.1,IV.C.1.a,Recognizes Upper and Lowercase Letters,,,,PK,
Developmental Milestones,4.8.3.6.1.2,IV.C.1.b,Phonemic Awareness,,,,PK,
Developmental Milestones,4.8.3.6.1.3,IV.C.1.c,Alphabet Sequencing Skills,,,,PK,
Developmental Milestones,4.8.3.6.1.4,IV.C.1.d,Recognizes 20 or more upper and lowercase letters,,,,PK,
Standard,4.8.3.6.2,IV.C.3,Produces letter sounds,,,,PK,
Developmental Milestones,4.8.3.6.2.1,IV.C.3.a,Identifies and Vocalizes Individual Letter Sounds,,,,PK,
Developmental Milestones,4.8.3.6.2.2,IV.C.3.b,Associates Sounds with Respective Letters,,,,PK,
Developmental Milestones,4.8.3.6.2.3,IV.C.3.c,Distinguishes between Different Letter Sounds,,,,PK,
Standard,4.8.3.6.3,IV.C.2,Recognizes letter sounds,,,,PK,
Developmental Milestones,4.8.3.6.3.1,IV.C.2.a,Identifies vowel and consonant sounds,,,,PK,
Developmental Milestones,4.8.3.6.3.2,IV.C.2.b,Associates letters with corresponding sounds,,,,PK,
Developmental Milestones,4.8.3.6.3.3,IV.C.2.c,Distinguishes between similar sounding letters,,,,PK,
Developmental Milestones,4.8.3.6.3.4,IV.C.2.d,Child recognizes at least 20 letter sounds.,,,,PK,
Standard,4.8.3.6.4,IV.A.1,Engages in pre-reading/reading activities,,,,PK,
Developmental Milestones,4.8.3.6.5,IV.A.1.a,Recognizes and Names All Upper- and Lowercase Letters,,,,PK,
Developmental Milestones,4.8.3.6.6,IV.A.1.b,Understands the Concept of Word and Letter Sounds (Phonetics),,,,PK,
Developmental Milestones,4.8.3.6.7,IV.A.1.c,Demonstrates Basic Story Comprehension,,,,PK,
Standard,4.8.4,LIT.4,Child demonstrates an understanding of narrative structure through storytelling/re-telling,,,,,
Label,4.8.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.4.1.1,,Grasps crayons or markers to make marks,,,,,
Label,4.8.4.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.4.2.1,,Uses crayons to draw lines or circles,,,,,
Label,4.8.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.4.3.1,,"Scribbles to imitate writing, often calling marks ""letters"" or ""pictures.""",,,,,
Label,4.8.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.4.4.1,,"Associates marks with specific ideas, like labeling drawings with scribbles.",,,,,
Label,4.8.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.4.5.1,LIT.4.a,Child illustrates comprehension by re-telling familiar stories in their own words'.,,,,,
Developmental Milestones,4.8.4.5.2,LIT.4.b,Child identifies main events and characters in a narrative'.,,,,,
Developmental Milestones,4.8.4.5.3,LIT.4.c,Child creates coherent and chronological narrative plots through storytelling'.,,,,,
Label,4.8.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.4.6.1,IV.D.11,Makes inferences and predictions,,,,PK,
Developmental Milestones,4.8.4.6.1.1,IV.D.11.a,Identifies Cause and Effect Relationships,,,,PK,
Developmental Milestones,4.8.4.6.1.2,IV.D.11.b,Utilizes Clues for Predictions,,,,PK,
Developmental Milestones,4.8.4.6.1.3,IV.D.11.c,Drawing Conclusions from Context,,,,PK,
Standard,4.8.4.6.2,IV.D.13,Experiences various types of literature,,,,PK,
Developmental Milestones,4.8.4.6.2.1,IV.D.13.a,Identifies and Discusses Key Elements in Literature,,,,PK,
Developmental Milestones,4.8.4.6.2.2,IV.D.13.b,Engages in Active Listening and Responding,,,,PK,
Developmental Milestones,4.8.4.6.2.3,IV.D.13.c,Explores Different Genres and Styles,,,,PK,
Standard,4.8.4.6.3,IV.D.9,Compares two informational texts on same topic,,,,PK,
Developmental Milestones,4.8.4.6.3.1,IV.D.9.a,Identifies Similarities and Differences,,,,PK,
Developmental Milestones,4.8.4.6.3.2,IV.D.9.b,Analyzing Author's Purpose,,,,PK,
Developmental Milestones,4.8.4.6.3.3,IV.D.9.c,Evaluating Informational Validity,,,,PK,
Standard,4.8.4.6.4,IV.D.16,Connects literature text to life experiences,,,,PK,
Developmental Milestones,4.8.4.6.4.1,IV.D.16.a,Identifying Similarities,,,,PK,
Developmental Milestones,4.8.4.6.4.2,IV.D.16.b,Emotional Connections,,,,PK,
Developmental Milestones,4.8.4.6.4.3,IV.D.16.c,Applying Lessons Learned,,,,PK,
Standard,4.8.4.6.5,IV.D.10,Retells story,,,,PK,
Developmental Milestones,4.8.4.6.5.1,IV.D.10.a,Retells a story with Key Elements,,,,PK,
Developmental Milestones,4.8.4.6.5.2,IV.D.10.b,Able to retell stories with events in the proper sequence.,,,,PK,
Developmental Milestones,4.8.4.6.5.3,IV.D.10.c,Uses Expressive Language when retelling stories; showing understanding of context.,,,,PK,
Standard,4.8.4.6.6,IV.D.15,Compares characters’ experiences in stories,,,,PK,
Developmental Milestones,4.8.4.6.6.1,IV.D.15.a,Identification of Characters,,,,PK,
Developmental Milestones,4.8.4.6.6.2,IV.D.15.b,Analyzing Character Experience,,,,PK,
Developmental Milestones,4.8.4.6.6.3,IV.D.15.c,Comparative Analysis of Characters,,,,PK,
Standard,4.8.4.6.7,IV.D.7,Recalls details related to main topic,,,,PK,
Developmental Milestones,4.8.4.6.7.1,IV.D.7.a,Identify Key Information,,,,PK,
Developmental Milestones,4.8.4.6.7.2,IV.D.7.b,Memory Recall,,,,PK,
Developmental Milestones,4.8.4.6.7.3,IV.D.7.c,Summarizing and Explaining,,,,PK,
Standard,4.8.4.6.8,IV.D.12,Identifies characters/setting/events,,,,PK,
Developmental Milestones,4.8.4.6.8.1,IV.D.12.a,Recognizes and Describes Characters,,,,PK,
Developmental Milestones,4.8.4.6.8.2,IV.D.12.b,Understands and Identifies Setting,,,,PK,
Developmental Milestones,4.8.4.6.8.3,IV.D.12.c,Identifies and Discusses Key Events,,,,PK,
Standard,4.8.5,LIT.5,Child asks and answers questions about a book that was read aloud,,,,,
Label,4.8.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.5.1.1,,Makes cooing or babbling sounds in response to the reader's tone,,,,,
Label,4.8.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.5.2.1,,"Points to pictures in the book when prompted (e.g., ""Where's the cat?"").",,,,,
Label,4.8.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.5.3.1,,"Points to objects or characters in response to ""Where"" or ""Who"" questions.",,,,,
Label,4.8.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.5.4.1,,"Begins to connect personal experiences to the book (e.g., ""I have a dog like that!"").",,,,,
Label,4.8.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.5.5.1,LIT.5.b,Expressive Language Development from printed or read-aloud books.,,,,,
Developmental Milestones,4.8.5.5.2,LIT.5.a,Ability to Comprehend Story Elements from books,,,,,
Developmental Milestones,4.8.5.5.3,LIT.5.c,Critical Thinking and Interpretation about printed books.,,,,,
Label,4.8.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.5.6.1,IV.D.3,Responds to questions from read-aloud,,,,PK,
Developmental Milestones,4.8.5.6.1.1,IV.D.3.a,Comprehension Analysis,,,,PK,
Developmental Milestones,4.8.5.6.1.2,IV.D.3.b,Critical Thinking,,,,PK,
Developmental Milestones,4.8.5.6.1.3,IV.D.3.c,Verbal Communication,,,,PK,
Standard,4.8.5.6.2,IV.D.1,Uses book information,,,,PK,
Developmental Milestones,4.8.5.6.2.1,IV.D.1.a,Identifies Main Ideas,,,,PK,
Developmental Milestones,4.8.5.6.2.2,IV.D.1.b,Connects Information to Reality,,,,PK,
Developmental Milestones,4.8.5.6.2.3,IV.D.1.c,Retells Story Sequences,,,,PK,
Standard,4.8.5.6.3,IV.A.2,Self-selects books,,,,PK,
Developmental Milestones,4.8.5.6.3.1,IV.A.2.a,Identifying and Classifying Books,,,,PK,
Developmental Milestones,4.8.5.6.3.2,IV.A.2.b,Evaluating Interest Level,,,,PK,
Developmental Milestones,4.8.5.6.3.3,IV.A.2.c,Understanding Book Handling Skills,,,,PK,
Standard,4.8.5.6.4,IV.D.6,Answers questions about informational text details,,,,PK,
Developmental Milestones,4.8.5.6.4.1,IV.D.6.a,Identifies Key Details in Informational Text,,,,PK,
Developmental Milestones,4.8.5.6.4.2,IV.D.6.b,Understands and Interprets Vocabulary found in informational text.,,,,PK,
Developmental Milestones,4.8.5.6.4.3,IV.D.6.c,Forms Coherent Answers based on reading informational text,,,,PK,
Standard,4.8.5.6.5,IV.D.5,Engages in group reading activities,,,,PK,
Developmental Milestones,4.8.5.6.5.1,IV.D.5.a,Active Listening,,,,PK,
Developmental Milestones,4.8.5.6.5.2,IV.D.5.b,Participation in Group Discussions,,,,PK,
Developmental Milestones,4.8.5.6.5.3,IV.D.5.c,Comprehension and Retelling,,,,PK,
Standard,4.8.5.6.6,IV.D.8,Connects informational text to life experiences,,,,PK,
Developmental Milestones,4.8.5.6.6.1,IV.D.8.a,Recognizes Informational Text,,,,PK,
Developmental Milestones,4.8.5.6.6.2,IV.D.8.b,Comprehends and Interprets Informational Text,,,,PK,
Developmental Milestones,4.8.5.6.6.3,IV.D.8.c,Applies Information from Text to Life Experiences,,,,PK,
Standard,4.8.6,LIT.6,Child writes for a variety of purposes using increasingly sophisticated marks,,,,,
Label,4.8.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,4.8.6.1.1,,Begin to make unintentional marks when given a crayon or tool.,,,,,
Label,4.8.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,4.8.6.2.1,,"Scribble with crayons, markers, or fingers.",,,,,
Label,4.8.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,4.8.6.3.1,,"Draws simple lines, circles, or scribbles to imitate writing.",,,,,
Label,4.8.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,4.8.6.4.1,,"Copies or draws lines, shapes, and some simple letters (e.g., their initials).",,,,,
Label,4.8.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,4.8.6.5.1,LIT.6.a,"Child demonstrates fine motor skills to create shapes, letters and pictures with a variety of writing tools.'",,,,,
Developmental Milestones,4.8.6.5.2,LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.',,,,,
Developmental Milestones,4.8.6.5.3,LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.',,,,,
Label,4.8.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,4.8.6.6.1,V.A.1,Uses writing to communicate ideas,,,,PK,
Developmental Milestones,4.8.6.6.1.1,V.A.1.a,Demonstrates Basic Handwriting Skills,,,,PK,
Developmental Milestones,4.8.6.6.1.2,V.A.1.b,Conveys Meaning Through Writing,,,,PK,
Developmental Milestones,4.8.6.6.1.3,V.A.1.c,Understands Writing Conventions,,,,PK,
Developmental Milestones,4.8.6.6.1.4,V.A.1.d,Students will use drawing and labeling to tell a story or share information with prompting.,,,,PK,
Standard,4.8.6.6.2,V.A.2,Verbally shares meaning of own writing,,,,PK,
Developmental Milestones,4.8.6.6.2.1,V.A.2.a,'Expresses thoughts and ideas effectively',,,,PK,
Developmental Milestones,4.8.6.6.2.2,V.A.2.b,'Applies appropriate vocabulary',,,,PK,
Developmental Milestones,4.8.6.6.2.3,V.A.2.c,'Demonstrates understanding of written content',,,,PK,
Standard,4.8.6.6.3,V.B.1,Contributes to class writing projects,,,,PK,
Developmental Milestones,4.8.6.6.3.1,V.B.1.a,'Participates in Group Brainstorming',,,,PK,
Developmental Milestones,4.8.6.6.3.2,V.B.1.b,'Understands Basic Writing Process',,,,PK,
Developmental Milestones,4.8.6.6.3.3,V.B.1.c,'Contributes Individual Written Pieces',,,,PK,
Standard,4.8.6.6.4,V.B.2,Suggests edits/revisions to class writing,,,,PK,
Developmental Milestones,4.8.6.6.4.1,V.B.2.a,Identifies Errors,,,,PK,
Developmental Milestones,4.8.6.6.4.2,V.B.2.b,Suggests Improvements,,,,PK,
Developmental Milestones,4.8.6.6.4.3,V.B.2.c,Provides Constructive Feedback,,,,PK,
Standard,4.8.6.6.5,V.B.3,Celebrates class-made and individual writing projects,,,,PK,
Developmental Milestones,4.8.6.6.5.1,V.B.3.a,Demonstrates the Ability to Participate in Group Writing Projects,,,,PK,
Developmental Milestones,4.8.6.6.5.2,V.B.3.b,Displays Personal Creativity in Independent Writing Projects,,,,PK,
Developmental Milestones,4.8.6.6.5.3,V.B.3.c,Shows Appreciation for One's Own and Others' Work,,,,PK,
Standard,4.8.6.6.6,V.C.1,Writes own name,,,,PK,
Developmental Milestones,4.8.6.6.6.1,V.C.1.a,Recognizes Individual Letters,,,,PK,
Developmental Milestones,4.8.6.6.6.2,V.C.1.b,Forms Characters Correctly,,,,PK,
Developmental Milestones,4.8.6.6.6.3,V.C.1.c,Understands Letter-Name Association,,,,PK,
Standard,4.8.6.6.7,V.C.2,Uses some letter-sound correspondence when writing,,,,PK,
Developmental Milestones,4.8.6.6.7.1,V.C.2.a,Recognizes and identifies letters and their corresponding sounds.,,,,PK,
Developmental Milestones,4.8.6.6.7.2,V.C.2.b,Expresses ideas and words through phonetic spelling or inventive writing.,,,,PK,
