Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,4.8.5.6.2.3,IV.D.1.c,Retells Story Sequences,,,,PK,,- Points to pictures in a book and talks about what happened in the story.
Standard,4.8.5.6.3,IV.A.2,Self-selects books,,,,PK,,- Picks a favorite book to look at.
Developmental Milestones,4.8.5.6.3.1,IV.A.2.a,Identifying and Classifying Books,,,,PK,,- Points to and names favorite books.
Developmental Milestones,4.8.5.6.3.2,IV.A.2.b,Evaluating Interest Level,,,,PK,,- Shows curiosity by reaching for or looking at new objects.
Developmental Milestones,4.8.5.6.3.3,IV.A.2.c,Understanding Book Handling Skills,,,,PK,,- Turns pages of a book one at a time.
Standard,4.8.5.6.4,IV.D.6,Answers questions about informational text details,,,,PK,,Points to or names objects in pictures when asked.
Developmental Milestones,4.8.5.6.4.1,IV.D.6.a,Identifies Key Details in Informational Text,,,,PK,,- Points to pictures or objects in a book when asked.
Developmental Milestones,4.8.5.6.4.2,IV.D.6.b,Understands and Interprets Vocabulary found in informational text.,,,,PK,,Points to or names pictures in a book when asked.
Developmental Milestones,4.8.5.6.4.3,IV.D.6.c,Forms Coherent Answers based on reading informational text,,,,PK,,- Answers simple questions about a picture book.
Standard,4.8.5.6.5,IV.D.5,Engages in group reading activities,,,,PK,,- Looks at pictures in a book with others.
Developmental Milestones,4.8.5.6.5.1,IV.D.5.a,Active Listening,,,,PK,,"- ""Listens closely and responds to sounds and voices around them."""
Developmental Milestones,4.8.5.6.5.2,IV.D.5.b,Participation in Group Discussions,,,,PK,,- Joins in group play by making sounds or gestures.
Developmental Milestones,4.8.5.6.5.3,IV.D.5.c,Comprehension and Retelling,,,,PK,,- Understands simple stories and can share favorite parts.
Standard,4.8.5.6.6,IV.D.8,Connects informational text to life experiences,,,,PK,,Points to pictures in a book and relates them to familiar experiences.
Developmental Milestones,4.8.5.6.6.1,IV.D.8.a,Recognizes Informational Text,,,,PK,,Points to pictures in a book when listening to a story.
Developmental Milestones,4.8.5.6.6.2,IV.D.8.b,Comprehends and Interprets Informational Text,,,,PK,,Points to pictures and names objects in a book.
Developmental Milestones,4.8.5.6.6.3,IV.D.8.c,Applies Information from Text to Life Experiences,,,,PK,,- Uses ideas from stories during playtime.
Standard,4.8.6,LIT.6,Child writes for a variety of purposes using increasingly sophisticated marks,,,,,,Makes marks and scribbles to express ideas and tell stories.
Label,4.8.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.1.1,,Begin to make unintentional marks when given a crayon or tool.,,,,,,- Scribbles randomly when holding a crayon or tool.
Label,4.8.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.2.1,,"Scribble with crayons, markers, or fingers.",,,,,,"- Create colorful scribbles using crayons, markers, or fingers."
Label,4.8.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.3.1,,"Draws simple lines, circles, or scribbles to imitate writing.",,,,,,- Scribbles or draws simple shapes like lines and circles.
Label,4.8.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.4.1,,"Copies or draws lines, shapes, and some simple letters (e.g., their initials).",,,,,,- Scribbles lines and shapes and starts to draw some letters.
Label,4.8.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.5.1,LIT.6.a,"Child demonstrates fine motor skills to create shapes, letters and pictures with a variety of writing tools.'",,,,,,- Scribbles and draws lines or shapes with crayons and markers.
Developmental Milestones,4.8.6.5.2,LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.',,,,,,- Makes different marks to show different things.
Developmental Milestones,4.8.6.5.3,LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.',,,,,,"- Scribbles and makes simple shapes with crayons or markers, showing growing control."
Label,4.8.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.6.6.1,V.A.1,Uses writing to communicate ideas,,,,PK,,Makes marks or scribbles to share thoughts.
Developmental Milestones,4.8.6.6.1.1,V.A.1.a,Demonstrates Basic Handwriting Skills,,,,PK,,- Scribbles with a crayon or marker.
Developmental Milestones,4.8.6.6.1.2,V.A.1.b,Conveys Meaning Through Writing,,,,PK,,- Scribbles to express ideas and tell stories.
Developmental Milestones,4.8.6.6.1.3,V.A.1.c,Understands Writing Conventions,,,,PK,,"- Scribbles on paper, showing early interest in writing."
Developmental Milestones,4.8.6.6.1.4,V.A.1.d,Students will use drawing and labeling to tell a story or share information with prompting.,,,,PK,,- Draw pictures and add marks or scribbles to share a story or idea.
Standard,4.8.6.6.2,V.A.2,Verbally shares meaning of own writing,,,,PK,,Talks about what their scribbles or drawings mean.
Developmental Milestones,4.8.6.6.2.1,V.A.2.a,'Expresses thoughts and ideas effectively',,,,PK,,- Uses gestures or simple words to share what they are thinking.
Developmental Milestones,4.8.6.6.2.2,V.A.2.b,'Applies appropriate vocabulary',,,,PK,,- Uses words to name familiar people or objects.
Developmental Milestones,4.8.6.6.2.3,V.A.2.c,'Demonstrates understanding of written content',,,,PK,,- Points to pictures in a book when asked.
Standard,4.8.6.6.3,V.B.1,Contributes to class writing projects,,,,PK,,- Shares ideas by pointing to pictures or making marks on paper.
Developmental Milestones,4.8.6.6.3.1,V.B.1.a,'Participates in Group Brainstorming',,,,PK,,- Joins in by sharing simple ideas with a small group.
Developmental Milestones,4.8.6.6.3.2,V.B.1.b,'Understands Basic Writing Process',,,,PK,,- Scribbles with a crayon to explore marks on paper.
Developmental Milestones,4.8.6.6.3.3,V.B.1.c,'Contributes Individual Written Pieces',,,,PK,,- Draws pictures or scribbles with crayons.
Standard,4.8.6.6.4,V.B.2,Suggests edits/revisions to class writing,,,,PK,,- Points at pictures and makes changes to stories.
Developmental Milestones,4.8.6.6.4.1,V.B.2.a,Identifies Errors,,,,PK,,- Notices when something is not right.
Developmental Milestones,4.8.6.6.4.2,V.B.2.b,Suggests Improvements,,,,PK,,- Tries new ways to solve problems.
Developmental Milestones,4.8.6.6.4.3,V.B.2.c,Provides Constructive Feedback,,,,PK,,- Offers simple suggestions during play.
Standard,4.8.6.6.5,V.B.3,Celebrates class-made and individual writing projects,,,,PK,,- Claps and smiles when showing their drawing or scribbles.
Developmental Milestones,4.8.6.6.5.1,V.B.3.a,Demonstrates the Ability to Participate in Group Writing Projects,,,,PK,,- Joins in shared drawing activities with other children.
Developmental Milestones,4.8.6.6.5.2,V.B.3.b,Displays Personal Creativity in Independent Writing Projects,,,,PK,,- Creates unique marks or scribbles while exploring with crayons or markers.
Developmental Milestones,4.8.6.6.5.3,V.B.3.c,Shows Appreciation for One's Own and Others' Work,,,,PK,,Claps or smiles when looking at their own or others' creations.
Standard,4.8.6.6.6,V.C.1,Writes own name,,,,PK,,- Scribbles letters that look like parts of their name.
Developmental Milestones,4.8.6.6.6.1,V.C.1.a,Recognizes Individual Letters,,,,PK,,- Points to or names some letters in a book or on a sign.
Developmental Milestones,4.8.6.6.6.2,V.C.1.b,Forms Characters Correctly,,,,PK,,- Draws simple shapes and lines.
Developmental Milestones,4.8.6.6.6.3,V.C.1.c,Understands Letter-Name Association,,,,PK,,- Points to or touches letters while saying their names.
Standard,4.8.6.6.7,V.C.2,Uses some letter-sound correspondence when writing,,,,PK,,- Matches some letters to their sounds while drawing or scribbling.
Developmental Milestones,4.8.6.6.7.1,V.C.2.a,Recognizes and identifies letters and their corresponding sounds.,,,,PK,,- Points to and babbles at letters during story time.
Developmental Milestones,4.8.6.6.7.2,V.C.2.b,Expresses ideas and words through phonetic spelling or inventive writing.,,,,PK,,- Scribbles or draws to show their ideas and attempts to use letter-like shapes.
Developmental Milestones,4.8.6.6.7.3,V.C.2.c,Pronounces basic phonic sounds correctly while writing.,,,,PK,,- Says basic phonic sounds while drawing.
Standard,4.8.6.6.8,V.C.3,Writes words or part of words,,,,PK,,- Scribbles lines or shapes that look like letters.
Developmental Milestones,4.8.6.6.8.1,V.C.3.a,Recognizes and Replicates Letters,,,,PK,,Points to and copies simple letters.
Developmental Milestones,4.8.6.6.8.2,V.C.3.b,Combines Letters into Words,,,,PK,,- Puts letters together to make a word.
Developmental Milestones,4.8.6.6.8.3,V.C.3.c,Writing Legibility,,,,PK,,- Scribbles with a crayon or pencil.
Standard,4.8.6.6.9,V.C.4,Uses appropriate writing directionality,,,,PK,,- Moves finger or crayon from left to right while drawing or scribbling.
Developmental Milestones,4.8.6.6.9.1,V.C.4.a,Demonstrates Basic Letter Formation,,,,PK,,- Scribbles shapes or lines that look like letters.
Developmental Milestones,4.8.6.6.9.2,V.C.4.b,Understands Left-to-Right Progression,,,,PK,,• Points to or follows pictures from left to right in a book.
Developmental Milestones,4.8.6.6.9.3,V.C.4.c,Applies Top-to-Bottom Line Usage,,,,PK,,Draws lines from top to bottom.
Standard,4.8.6.6.10,V.C.5,Begins to use punctuation,,,,PK,,- Uses simple marks like dots or lines to end sentences.
Developmental Milestones,4.8.6.6.10.1,V.C.5.a,Understands and Identifies Punctuation Marks,,,,PK,,- Points to or recognizes common punctuation marks in books or on signs.
Developmental Milestones,4.8.6.6.10.2,V.C.5.b,Uses Punctuation in Writing,,,,PK,,"- Recognizes and mimics pauses in speech, like using short pauses where a comma would be."
Developmental Milestones,4.8.6.6.10.3,V.C.5.c,Understands the Need for Punctuation,,,,PK,,- Points to or pauses at the end of sentences to show where a period goes.
Developmental Milestones,4.8.6.6.11,V.C.6,can write 3 words in two other indigenous languages,,Washington Stanard,,PK,,- Says three words in two other indigenous languages.
Domain,5,MATH,Domain #4: Mathematics Development/ Cognition,,,,,,
Standard,5.1,MATH.1,Child knows number names and the count sequence,,,,,,- Points to and says numbers in order while playing.
Label,5.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.1.1.1,,"Notices differences in the number of objects (e.g., one versus many).",,,,,,- Points to or shows excitement when seeing one toy versus a pile of toys.
Label,5.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.1.2.1,,"Points to objects or shows interest in grouping items (e.g., stacking rings).",,,,,,Stacks rings or points to toys with curiosity.
Label,5.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.1.3.1,,"Begins using number words during play (e.g., “one, two”).",,,,,,- Counts out loud using number words like “one” and “two” during play.
Label,5.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.1.4.1,,Counts objects up to three with guidance.,,,,,,- Points to and counts up to three objects with help.
Label,5.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.1.5.1,MATH.1.a,Child can accurately identify numbers when named or written.,,,,,,Points to numbers when you say them or when they are shown.
Developmental Milestones,5.1.5.2,MATH.1.b,Child can recite the numerical order sequence correctly.,,,,,,"- Says numbers in order, like 1, 2, 3."
Developmental Milestones,5.1.5.3,MATH.1.c,Child can associate specific quantities with their corresponding number names.,,,,,,- Points to objects and says the correct number name.
Label,5.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.1.6.1,VI.A.13,Begins to write numerals,,,,PK,,- Scribbles lines and shapes that resemble numbers.
Developmental Milestones,5.1.6.1.1,VI.A.13.a,Recognizes and Identifies Numerals,,,,PK,,- Points to and names numbers they see.
Developmental Milestones,5.1.6.1.2,VI.A.13.b,Understands the Concept of Numerals,,,,PK,,Points to and names numbers in a book or on toys.
Developmental Milestones,5.1.6.1.3,VI.A.13.c,Mastering Number Formation,,,,PK,,- Scribbles numbers with a crayon.
Standard,5.1.6.2,VI.A.12,Identifies quantity to 5 without counting,,,,PK,,Can show 5 fingers to represent a number without counting.
Developmental Milestones,5.1.6.2.1,VI.A.12.a,Recognizes Numerals Up to 5,,,,PK,,- **Points to or names numbers up to 5.**
Developmental Milestones,5.1.6.2.2,VI.A.12.b,Understands Concepts of Quantity,,,,PK,,"- Points to or shows interest in more, less, or the same amount of objects."
Developmental Milestones,5.1.6.2.3,VI.A.12.c,Estimation Skills,,,,PK,,Stacks blocks to match the height of a nearby tower.
Standard,5.1.6.3,VI.A.11,Uses ordinal terms,,,,PK,,"- Says words like ""first,"" ""next,"" and ""last"" during play."
Developmental Milestones,5.1.6.3.1,VI.A.11.a,Identifies and applies ordinal terms in daily activities and routines.,,,,PK,,"- Uses words like ""first,"" ""second,"" or ""third"" during playtime activities."
Developmental Milestones,5.1.6.3.2,VI.A.11.b,Associates ordinal terms with numerical order and sequential tasks.,,,,PK,,"- Points to objects in order when counting, like ""first"" or ""second."""
Developmental Milestones,5.1.6.3.3,VI.A.11.c,"Uses ordinal terms correctly in meaningful contexts, such as storytelling or game playing.",,,,PK,,"- Says ""first,"" ""second,"" and ""third"" during play or stories."
Standard,5.1.6.4,VI.A.8,Recognizes and names numerals 0-9,,,,PK,,- Points to and says numbers 0-9.
Developmental Milestones,5.1.6.4.1,VI.A.8.a,Identifying Numerals,,,,PK,,- Points to and names numbers they see.
Developmental Milestones,5.1.6.4.2,VI.A.8.b,Number Naming,,,,PK,,● Say numbers out loud during play.
Developmental Milestones,5.1.6.4.3,VI.A.8.c,Numeric Association,,,,PK,,- Recognizes and groups a few objects by counting them out loud.
Developmental Milestones,5.1.6.4.4,VI.A.8.d,Recognizes and names numerals 0-10.,,,,PK,,- Points to and says numbers 0-10.
Developmental Milestones,5.1.6.4.5,VI.A.8.e,Recognize that zero represents the count of no objects.,,,,PK,,- Notices when there are no toys left to play with.
Standard,5.1.6.5,VI.A.6,Knows last count shows how many,,,,PK,,Counts objects and says the total number.
Developmental Milestones,5.1.6.5.1,VI.A.6.a,Identifying Numerical Values,,,,PK,,- Points to or names numbers in a book or on toys.
Developmental Milestones,5.1.6.5.2,VI.A.6.b,Understanding Sequence of Numbers,,,,PK,,- Points to or says numbers in order during play.
Developmental Milestones,5.1.6.5.3,VI.A.6.c,Associating Numbers with Quantity,,,,PK,,- Points to objects while counting them.
Standard,5.1.6.6,VI.A.5,Know counting sequence is constant,,,,PK,,- Say numbers in order during play.
Developmental Milestones,5.1.6.6.1,VI.A.5.a,Recognizing and Identifying Numbers,,,,PK,,- Points to numbers and tries to say their names.
Developmental Milestones,5.1.6.6.2,VI.A.5.b,Sequential Counting,,,,PK,,- Count numbers in order.
Developmental Milestones,5.1.6.6.3,VI.A.5.c,Constant Counting Principle,,,,PK,,- Count objects in the same order every time.
Standard,5.1.6.7,VI.A.1,Rote counts to 5,,,,PK,,- Says numbers in order up to 5.
Developmental Milestones,5.1.6.7.1,VI.A.1.a,Recognizes and Recites Numbers 1-5,,,,PK,,- Points to and says numbers 1 to 5.
Developmental Milestones,5.1.6.7.2,VI.A.1.b,Understands Sequential Order,,,,PK,,- Puts toys in order from first to last.
Developmental Milestones,5.1.6.7.3,VI.A.1.c,Applies Counting in Practical Situations,,,,PK,,"- Counts objects during play, like blocks or toys."
Standard,5.1.6.8,VI.A.2,Rote counts to 10,,,,PK,,Counts out loud from 1 to 10.
Developmental Milestones,5.1.6.8.1,VI.A.2.a,Recognizes Numbers,,,,PK,,- Points to numbers when asked.
Developmental Milestones,5.1.6.8.2,VI.A.2.b,Sequential Numbering,,,,PK,,- Recites numbers in order while playing.
Developmental Milestones,5.1.6.8.3,VI.A.2.c,Repetitive Number Recital,,,,PK,,- Counts numbers in order while playing.
Standard,5.1.6.9,VI.A.3,Rote counts to 30,,,,PK,,- Say numbers in order up to 30.
Developmental Milestones,5.1.6.9.1,VI.A.3.a,Identifies Numbers Up to 30,,,,PK,,- Points to and names numbers up to 30.
Developmental Milestones,5.1.6.9.2,VI.A.3.b,Counts Sequentially,,,,PK,,- Says numbers in order.
Developmental Milestones,5.1.6.9.3,VI.A.3.c,Demonstrates Understanding Through Counting Objects,,,,PK,,Counts objects out loud.
Developmental Milestones,5.1.6.9.4,VI.A.3.d,Count aloud forward in sequence by 1s to 20,,,,PK,,- Say numbers in order up to 20.
Standard,5.1.6.10,VI.A.4,Counts objects one per count 1-10,,,,PK,,- Points to and counts each object up to 10.
Developmental Milestones,5.1.6.10.1,VI.A.4.a,Object Recognition and 1:1 correspondence up to 10.,,,,PK,,- Matches each object with one number up to 10.
Developmental Milestones,5.1.6.10.2,VI.A.4.b,Sequential Number Identification,,,,PK,,- Points to and says numbers in order.
Developmental Milestones,5.1.6.10.3,VI.A.4.c,One-to-One Correspondence,,,,PK,,- Matches one object to each item in a set while counting.
Standard,5.2,MATH.2,Child recognizes the number of objects in a small set (subitizing),,,,,,- Points to or says how many items are in a small group without counting.
Label,5.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.2.1.1,,"Explores objects by grasping and mouthing, noticing differences in size.",,,,,,"- Grasps and mouths objects, noticing big and small differences."
Label,5.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.2.2.1,,"Stacks or nests objects, such as cups or blocks.",,,,,,Stacks or fits cups and blocks together.
Label,5.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.2.3.1,,Identifies “big” and “small” with prompts; begins to fill and empty containers.,,,,,,Stacks blocks by size and fills and empties cups.
Label,5.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.2.4.1,,"Uses terms like “on,” “under,” and “in” to describe object placement.",,,,,,"Stacks toys in and out of a box, saying ""in"" or ""out."""
Label,5.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.2.5.1,MATH.2.a,Child can visually identify and name numbers 1-5 without counting.,,,,,,Points to and says numbers 1-5.
Developmental Milestones,5.2.5.2,MATH.2.b,Child can group objects into sets equating to a given small number without counting.,,,,,,● Groups toys into small piles just by looking.
Developmental Milestones,5.2.5.3,MATH.2.c,"Child can instantly recognize number patterns within 5 using arrays, dice patterns or fingers.",,,,,,- Points to or shows up to 5 objects using fingers or familiar patterns.
Label,5.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.2.6.1,VI.B.3,Separates items up to 10 into equal groups,,,,PK,,- Groups items into equal sets up to 10.
Developmental Milestones,5.2.6.1.1,VI.B.3.a,'Recognizes and understands the concept of number equality',,,,PK,,- Matches two groups of the same number of objects.
Developmental Milestones,5.2.6.1.2,VI.B.3.b,'Identifies a collection of items up to 10 and can evenly distribute them',,,,PK,,"- ""Counts and shares up to 10 items with friends."""
Developmental Milestones,5.2.6.1.3,VI.B.3.c,'Demonstrates basic understanding of division by separating items into equal groups',,,,PK,,- Sorts toys into equal piles or groups.
Standard,5.3,MATH.3,Child understands the relationship between numbers and quantities,,,,,,"- ""Matches numbers to the right number of objects."""
Label,5.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.3.1.1,,"Reacts to repetitive sounds or movements, such as clapping.",,,,,,- Turns head towards clapping sounds.
Label,5.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.3.2.1,,"Imitates simple patterns in actions, such as banging two objects together.",,,,,,- Bangs two objects together to copy simple actions.
Label,5.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.3.3.1,,Matches similar objects or colors to form simple sequences.,,,,,,- Puts together toys or blocks of the same color or shape.
Label,5.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.3.4.1,,"Recognizes AB patterns (e.g., red-blue-red-blue).",,,,,,Points to or says the next color in a simple pattern like red-blue-red-blue.
Label,5.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.3.5.1,MATH.3.b,Child can order quantities according to number sequence,,,,,,- Stacks blocks from smallest to largest.
Developmental Milestones,5.3.5.2,MATH.3.c,Child can perform simple addition and subtraction with quantities,,,,,,"- Counts small groups of toys or snacks, adding or taking some away."
Developmental Milestones,5.3.5.3,MATH.3.a,Child can match numbers with corresponding quantities,,,,,,- Matches numbers with the right amount of objects.
Label,5.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.3.6.1,VI.A.7,Counts objects in any order,,,,PK,,- Points to and counts toys in any order.
Developmental Milestones,5.3.6.1.1,VI.A.7.a,Identification and Naming of Objects,,,,PK,,Points to and says the name of familiar objects.
Developmental Milestones,5.3.6.1.2,VI.A.7.b,Understanding of Number Concepts,,,,PK,,- Points to or touches objects to show how many are present.
Developmental Milestones,5.3.6.1.3,VI.A.7.c,Sequential Ordering and Counting,,,,PK,,- Count objects one by one in order.
Developmental Milestones,5.3.6.1.4,VI.A.7.d,Count up to 5 items in a scattered configuration; not in a row or column.,,,,PK,,Point to and count up to 5 items scattered around.
Standard,5.3.6.2,VI.A.9,Connects numbers with quantities,,,,PK,,- Matches numbers to groups of objects.
Developmental Milestones,5.3.6.2.1,VI.A.9.a,Recognizes and Identifies Numerals,,,,PK,,- Points to and names numbers when asked.
Developmental Milestones,5.3.6.2.2,VI.A.9.b,Counting and Matching Quantities,,,,PK,,- Points to and matches groups of objects with the same number.
Developmental Milestones,5.3.6.2.3,VI.A.9.c,Comparing and Contrasting Quantities,,,,PK,,- Notices when one group of toys has more than another.
Developmental Milestones,5.3.6.2.4,VI.A.9.d,Child represents quantities up to 10.,,,,PK,,- Counts out loud up to 10 using fingers or objects.
Developmental Milestones,5.3.6.2.5,VI.A.9.e,Child begins to understand that numbers 0-10 can be composed and decomposed in various ways to represent a quantity.,,,,PK,,- Matches toys or objects to show different ways to make numbers up to 10.
Standard,5.4,MATH.4,Child compares numbers,,,,,,- Points to or groups objects to show which has more or fewer.
Label,5.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.4.1.1,,"Explores objects by mouthing, grasping, or banging, noticing different weights or textures.",,,,,,"- Mouths, grabs, and bangs objects to feel different weights and textures."
Label,5.4.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.4.2.1,,Compares sizes by choosing larger or smaller objects.,,,,,,- Picks the bigger or smaller toy when asked.
Label,5.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.4.3.1,,Sorts objects by size or weight with guidance.,,,,,,Stacks blocks by size with a little help.
Label,5.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.4.4.1,,"Identifies objects as “big” or “small,” “heavy” or “light.”",,,,,,"- Points to or labels objects as ""big"" or ""small,"" ""heavy"" or ""light."""
Label,5.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.4.5.1,MATH.4.a,Child identifies larger and smaller quantities.,,,,,,Points to or picks the bigger or smaller group of items.
Developmental Milestones,5.4.5.2,MATH.4.c,Child can arrange numbers in ascending and descending order.,,,,,,- Lines up numbers from smallest to biggest and biggest to smallest.
Developmental Milestones,5.4.5.3,MATH.4.b,"Child understands and uses terms related to quantity comparison (more, less, equal).",,,,,,"- Says or points to ""more"" or ""less"" when comparing amounts."
Label,5.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.4.6.1,VI.A.10,Compares quantities,,,,PK,,- Notices and talks about which group has more or less.
Developmental Milestones,5.4.6.1.1,VI.A.10.a,Identifying More or Less,,,,PK,,- Points to or chooses the group with more or fewer items.
Developmental Milestones,5.4.6.1.2,VI.A.10.b,"Child compares sets of objects up to 10 using comparative language (e.g., greater/more than, less/fewer than, equal to/same number of).",,,,PK,,- Points to or sorts objects to show which group has more or less.
Developmental Milestones,5.4.6.1.3,VI.A.10.c,Estimation Skills,,,,PK,,- **Stacks blocks to compare sizes.**
Standard,5.5,MATH.5,Child associates a quantity with written numerals up to 5 and begins to write numbers,,,,,,- Matches numbers to groups of up to 5 objects and starts to write them.
Label,5.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.5.1.1,,"Notices different quantities (e.g., one toy versus many).",,,,,,- Picks up one toy and looks surprised when there are many left.
Label,5.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.5.2.1,,"Groups objects during play, such as stacking blocks or sorting rings",,,,,,- Sorts and stacks toys like blocks and rings during play.
Label,5.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.5.3.1,,"Points to objects while attempting to count (e.g., “one, two”).",,,,,,"- Points to objects and says, ""one, two."""
Label,5.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.5.4.1,,"Begins recognizing numerals (e.g., points to the “3” when prompted).",,,,,,- Points to numbers when asked.
Label,5.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.5.5.1,MATH.5.a,Child recognizes and accurately counts objects up to five.,,,,,,Points to and counts objects up to five.
Developmental Milestones,5.5.5.2,MATH.5.c,Child begins to practice writing numerals up to five correctly.,,,,,,- Scribbles and draws numbers up to five with increasing accuracy.
Developmental Milestones,5.5.5.3,MATH.5.b,Child matches written numerals to their corresponding quantities up to five.,,,,,,- Points to or places objects to show numbers up to five.
Label,5.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.5.6.1,VI.B.1,Uses objects/pictures to add up to 5 objects,,,,PK,,Counts up to 5 objects using pictures or toys.
Developmental Milestones,5.5.6.1.1,VI.B.1.a,Identifies and Counts Objects/Pictures,,,,PK,,Points to and counts objects or pictures.
Developmental Milestones,5.5.6.1.2,VI.B.1.b,Understands the Concept of Addition,,,,PK,,"- Puts two blocks together and says ""more!"""
Developmental Milestones,5.5.6.1.3,VI.B.1.c,Applies Addition to Combine Objects/Pictures,,,,PK,,- Puts two groups of toys together and counts them.
Standard,5.5.6.2,VI.B.2,Uses objects/pictures to subtract objects from set 0-5,,,,PK,,Takes away objects from a group of 0-5 items while using pictures or toys.
Developmental Milestones,5.5.6.2.1,VI.B.2.a,Applies subtraction using pictures/objects,,,,PK,,Takes away toys from a group and notices there are fewer left.
Standard,5.6,MATH.6,Child understands addition as adding to and understands subtraction as taking away from,,,,,,- Stacks blocks to make a taller tower and removes blocks to make it shorter.
Label,5.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.6.1.1,,"Watches as objects are added or removed (e.g., during play).",,,,,,- Looks closely when toys are put in or taken out.
Label,5.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.6.2.1,,"Reacts to changes in quantities, such as surprise when objects disappear.",,,,,,- Shows surprise when a toy suddenly disappears.
Label,5.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.6.3.1,,Combines or separates small groups of objects with guidance.,,,,,,Stacks or sorts small toys with a little help.
Label,5.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.6.4.1,,"Adds or removes items during play (e.g., “I’ll give you two blocks”).",,,,,,Puts in or takes out toys while playing.
Label,5.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.6.5.1,MATH.6.a,"""Child can use objects to demonstrate addition as 'adding to' in practical scenarios.""",,,,,,- Stacks blocks to show adding more.
Developmental Milestones,5.6.5.2,MATH.6.b,"""Child can apply the concept of 'taking away from' when solving simple subtraction problems.""",,,,,,- Takes away objects to solve simple subtraction problems.
Developmental Milestones,5.6.5.3,MATH.6.c,"""Child can differentiate between addition and subtraction and identify their appropriate use in real-life situations.""",,,,,,- Shows understanding by using simple addition and subtraction with everyday objects.
Label,5.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
