Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,4.8.4.6.8.3,IV.D.12.c,Identifies and Discusses Key Events,,,,PK,,Talks about what happened during playtime.
Standard,4.8.5,LIT.5,Child asks and answers questions about a book that was read aloud,,,,,,
Label,4.8.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.5.1.1,,Makes cooing or babbling sounds in response to the reader's tone,,,,,,
Label,4.8.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.5.2.1,,"Points to pictures in the book when prompted (e.g., ""Where's the cat?"").",,,,,,
Label,4.8.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.5.3.1,,"Points to objects or characters in response to ""Where"" or ""Who"" questions.",,,,,,
Label,4.8.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.5.4.1,,"Begins to connect personal experiences to the book (e.g., ""I have a dog like that!"").",,,,,,
Label,4.8.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.5.5.1,LIT.5.b,Expressive Language Development from printed or read-aloud books.,,,,,,
Developmental Milestones,4.8.5.5.2,LIT.5.a,Ability to Comprehend Story Elements from books,,,,,,
Developmental Milestones,4.8.5.5.3,LIT.5.c,Critical Thinking and Interpretation about printed books.,,,,,,
Label,4.8.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.5.6.1,IV.D.3,Responds to questions from read-aloud,,,,PK,,Answers simple questions during storytime.
Developmental Milestones,4.8.5.6.1.1,IV.D.3.a,Comprehension Analysis,,,,PK,, Understands and reacts to simple words or phrases.
Developmental Milestones,4.8.5.6.1.2,IV.D.3.b,Critical Thinking,,,,PK,, Explores objects by touching and mouthing them to learn about their properties.
Developmental Milestones,4.8.5.6.1.3,IV.D.3.c,Verbal Communication,,,,PK,,Uses simple words or sounds to express needs and feelings.
Standard,4.8.5.6.2,IV.D.1,Uses book information,,,,PK,,Looks at pictures in a book and points to familiar objects.
Developmental Milestones,4.8.5.6.2.1,IV.D.1.a,Identifies Main Ideas,,,,PK,, Points to or Shows interest in key parts of a simple story or picture.
Developmental Milestones,4.8.5.6.2.2,IV.D.1.b,Connects Information to Reality,,,,PK,, Matches familiar objects with pictures or sounds in their surroundings.
Developmental Milestones,4.8.5.6.2.3,IV.D.1.c,Retells Story Sequences,,,,PK,,- **Tells parts of a story in order**
Standard,4.8.5.6.3,IV.A.2,Self-selects books,,,,PK,,Chooses a book to look at.
Developmental Milestones,4.8.5.6.3.1,IV.A.2.a,Identifying and Classifying Books,,,,PK,,Looks at and points to favorite books when asked.
Developmental Milestones,4.8.5.6.3.2,IV.A.2.b,Evaluating Interest Level,,,,PK,, Shows curiosity by exploring new toys or objects.
Developmental Milestones,4.8.5.6.3.3,IV.A.2.c,Understanding Book Handling Skills,,,,PK,," turns pages of a book, looking at pictures."
Standard,4.8.5.6.4,IV.D.6,Answers questions about informational text details,,,,PK,,Points to pictures in a book when asked simple questions.
Developmental Milestones,4.8.5.6.4.1,IV.D.6.a,Identifies Key Details in Informational Text,,,,PK,,Points to pictures or objects when asked about them in a story.
Developmental Milestones,4.8.5.6.4.2,IV.D.6.b,Understands and Interprets Vocabulary found in informational text.,,,,PK,,Points to or names objects and pictures when asked.
Developmental Milestones,4.8.5.6.4.3,IV.D.6.c,Forms Coherent Answers based on reading informational text,,,,PK,, Answers questions after listening to a story.
Standard,4.8.5.6.5,IV.D.5,Engages in group reading activities,,,,PK,, Looks at books with others.
Developmental Milestones,4.8.5.6.5.1,IV.D.5.a,Active Listening,,,,PK,, turns head towards sounds and voices.
Developmental Milestones,4.8.5.6.5.2,IV.D.5.b,Participation in Group Discussions,,,,PK,, Joins in by listening and babbling during group time.
Developmental Milestones,4.8.5.6.5.3,IV.D.5.c,Comprehension and Retelling,,,,PK,, Shows understanding by pointing to familiar objects when named.
Standard,4.8.5.6.6,IV.D.8,Connects informational text to life experiences,,,,PK,,Points to pictures in a book and relates them to things they have seen or done.
Developmental Milestones,4.8.5.6.6.1,IV.D.8.a,Recognizes Informational Text,,,,PK,,Points to pictures in a book to learn about things.
Developmental Milestones,4.8.5.6.6.2,IV.D.8.b,Comprehends and Interprets Informational Text,,,,PK,,Points to and names pictures in a book.
Developmental Milestones,4.8.5.6.6.3,IV.D.8.c,Applies Information from Text to Life Experiences,,,,PK,,Uses ideas from stories during playtime.
Standard,4.8.6,LIT.6,Child writes for a variety of purposes using increasingly sophisticated marks,,,,,,
Label,4.8.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.1.1,,Begin to make unintentional marks when given a crayon or tool.,,,,,,
Label,4.8.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.2.1,,"Scribble with crayons, markers, or fingers.",,,,,,
Label,4.8.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.3.1,,"Draws simple lines, circles, or scribbles to imitate writing.",,,,,,
Label,4.8.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.4.1,,"Copies or draws lines, shapes, and some simple letters (e.g., their initials).",,,,,,
Label,4.8.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,4.8.6.5.1,LIT.6.a,"Child demonstrates fine motor skills to create shapes, letters and pictures with a variety of writing tools.'",,,,,,
Developmental Milestones,4.8.6.5.2,LIT.6.b,Child can differentiate and apply various types of marks to convey different meanings or purposes.',,,,,,
Developmental Milestones,4.8.6.5.3,LIT.6.c,Child develops the ability to produce increasingly complex and detailed markings representing greater command of written language.',,,,,,
Label,4.8.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,4.8.6.6.1,V.A.1,Uses writing to communicate ideas,,,,PK,,Draws or scribbles to share thoughts.
Developmental Milestones,4.8.6.6.1.1,V.A.1.a,Demonstrates Basic Handwriting Skills,,,,PK,, Scribbles with a crayon or marker.
Developmental Milestones,4.8.6.6.1.2,V.A.1.b,Conveys Meaning Through Writing,,,,PK,,Makes marks or scribbles to share ideas.
Developmental Milestones,4.8.6.6.1.3,V.A.1.c,Understands Writing Conventions,,,,PK,, Scribbles on paper to mimic writing.
Developmental Milestones,4.8.6.6.1.4,V.A.1.d,Students will use drawing and labeling to tell a story or share information with prompting.,,,,PK,, Draw pictures and name them to share a story with help.
Standard,4.8.6.6.2,V.A.2,Verbally shares meaning of own writing,,,,PK,,Talks about what their scribbles mean.
Developmental Milestones,4.8.6.6.2.1,V.A.2.a,'Expresses thoughts and ideas effectively',,,,PK,, Uses simple words or gestures to share needs and feelings.
Developmental Milestones,4.8.6.6.2.2,V.A.2.b,'Applies appropriate vocabulary',,,,PK,, Uses words to name familiar objects.
Developmental Milestones,4.8.6.6.2.3,V.A.2.c,'Demonstrates understanding of written content',,,,PK,, Points to pictures in a book when asked.
Standard,4.8.6.6.3,V.B.1,Contributes to class writing projects,,,,PK,, Joins in by adding marks or Scribbles to group drawings.
Developmental Milestones,4.8.6.6.3.1,V.B.1.a,'Participates in Group Brainstorming',,,,PK,, Joins in by sharing ideas during group play.
Developmental Milestones,4.8.6.6.3.2,V.B.1.b,'Understands Basic Writing Process',,,,PK,, Scribbles with crayons to imitate writing.
Developmental Milestones,4.8.6.6.3.3,V.B.1.c,'Contributes Individual Written Pieces',,,,PK,, Scribbles on paper to create unique marks.
Standard,4.8.6.6.4,V.B.2,Suggests edits/revisions to class writing,,,,PK,,Shares ideas to change a story or drawing.
Developmental Milestones,4.8.6.6.4.1,V.B.2.a,Identifies Errors,,,,PK,, Notices and Points out when something is not right.
Developmental Milestones,4.8.6.6.4.2,V.B.2.b,Suggests Improvements,,,,PK,, Points to or gestures for a different way to play.
Developmental Milestones,4.8.6.6.4.3,V.B.2.c,Provides Constructive Feedback,,,,PK,,Offers simple help or suggestions to others.
Standard,4.8.6.6.5,V.B.3,Celebrates class-made and individual writing projects,,,,PK,,Shows excitement by clapping when looking at their scribbles or drawings.
Developmental Milestones,4.8.6.6.5.1,V.B.3.a,Demonstrates the Ability to Participate in Group Writing Projects,,,,PK,, Joins in by making marks or Scribbles during group drawing time.
Developmental Milestones,4.8.6.6.5.2,V.B.3.b,Displays Personal Creativity in Independent Writing Projects,,,,PK,, Creates unique Scribbles and drawings on paper.
Developmental Milestones,4.8.6.6.5.3,V.B.3.c,Shows Appreciation for One's Own and Others' Work,,,,PK,,Claps or smiles when seeing their own or others' creations.
Standard,4.8.6.6.6,V.C.1,Writes own name,,,,PK,, Scribbles lines and curves to imitate letters.
Developmental Milestones,4.8.6.6.6.1,V.C.1.a,Recognizes Individual Letters,,,,PK,, Points to and names some letters.
Developmental Milestones,4.8.6.6.6.2,V.C.1.b,Forms Characters Correctly,,,,PK,, Draws shapes that look like simple letters.
Developmental Milestones,4.8.6.6.6.3,V.C.1.c,Understands Letter-Name Association,,,,PK,,Recognizes and points to familiar letters when named.
Standard,4.8.6.6.7,V.C.2,Uses some letter-sound correspondence when writing,,,,PK,, Matches some letters with their sounds when drawing or scribbling.
Developmental Milestones,4.8.6.6.7.1,V.C.2.a,Recognizes and identifies letters and their corresponding sounds.,,,,PK,, Points to and babbles at letters in a book.
Developmental Milestones,4.8.6.6.7.2,V.C.2.b,Expresses ideas and words through phonetic spelling or inventive writing.,,,,PK,, Uses sounds or Scribbles to share ideas.
Developmental Milestones,4.8.6.6.7.3,V.C.2.c,Pronounces basic phonic sounds correctly while writing.,,,,PK,,Says simple sounds clearly while scribbling.
Standard,4.8.6.6.8,V.C.3,Writes words or part of words,,,,PK,, Scribbles marks that resemble letters or words
Developmental Milestones,4.8.6.6.8.1,V.C.3.a,Recognizes and Replicates Letters,,,,PK,, Points to and Copies some letters.
Developmental Milestones,4.8.6.6.8.2,V.C.3.b,Combines Letters into Words,,,,PK,, Puts letters together to make simple words.
Developmental Milestones,4.8.6.6.8.3,V.C.3.c,Writing Legibility,,,,PK,, Scribbles with a crayon or marker to make marks on paper.
Standard,4.8.6.6.9,V.C.4,Uses appropriate writing directionality,,,,PK,, Draws lines and shapes from left to right.
Developmental Milestones,4.8.6.6.9.1,V.C.4.a,Demonstrates Basic Letter Formation,,,,PK,, Scribbles lines and shapes that look like letters.
Developmental Milestones,4.8.6.6.9.2,V.C.4.b,Understands Left-to-Right Progression,,,,PK,, Points to or Follows objects moving from left to right.
Developmental Milestones,4.8.6.6.9.3,V.C.4.c,Applies Top-to-Bottom Line Usage,,,,PK,,Draws lines from top to bottom.
Standard,4.8.6.6.10,V.C.5,Begins to use punctuation,,,,PK,, Points to a period or question mark in a book.
Developmental Milestones,4.8.6.6.10.1,V.C.5.a,Understands and Identifies Punctuation Marks,,,,PK,,Points to or names punctuation marks like periods or question marks in books.
Developmental Milestones,4.8.6.6.10.2,V.C.5.b,Uses Punctuation in Writing,,,,PK,, Points to marks on a page while pretending to read or write.
Developmental Milestones,4.8.6.6.10.3,V.C.5.c,Understands the Need for Punctuation,,,,PK,,Uses pauses in speech like a period or comma when communicating.
Developmental Milestones,4.8.6.6.11,V.C.6,can write 3 words in two other indigenous languages,,Washington Stanard,,PK,, says three words in two other indigenous languages.
Domain,5,MATH,Domain #4: Mathematics Development/ Cognition,,,,,,
Standard,5.1,MATH.1,Child knows number names and the count sequence,,,,,,
Label,5.1.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.1.1.1,,"Notices differences in the number of objects (e.g., one versus many).",,,,,,
Label,5.1.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.1.2.1,,"Points to objects or shows interest in grouping items (e.g., stacking rings).",,,,,,
Label,5.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.1.3.1,,"Begins using number words during play (e.g., “one, two”).",,,,,,
Label,5.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.1.4.1,,Counts objects up to three with guidance.,,,,,,
Label,5.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.1.5.1,MATH.1.a,Child can accurately identify numbers when named or written.,,,,,,
Developmental Milestones,5.1.5.2,MATH.1.b,Child can recite the numerical order sequence correctly.,,,,,,
Developmental Milestones,5.1.5.3,MATH.1.c,Child can associate specific quantities with their corresponding number names.,,,,,,
Label,5.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.1.6.1,VI.A.13,Begins to write numerals,,,,PK,, Draws simple number shapes.
Developmental Milestones,5.1.6.1.1,VI.A.13.a,Recognizes and Identifies Numerals,,,,PK,,Points to and names numbers.
Developmental Milestones,5.1.6.1.2,VI.A.13.b,Understands the Concept of Numerals,,,,PK,, Points to or names numbers during play.
Developmental Milestones,5.1.6.1.3,VI.A.13.c,Mastering Number Formation,,,,PK,, Scribbles numbers with a crayon.
Standard,5.1.6.2,VI.A.12,Identifies quantity to 5 without counting,,,,PK,,Recognizes and names groups of up to 5 objects without counting.
Developmental Milestones,5.1.6.2.1,VI.A.12.a,Recognizes Numerals Up to 5,,,,PK,,- Points to numbers 1 to 5 when asked.
Developmental Milestones,5.1.6.2.2,VI.A.12.b,Understands Concepts of Quantity,,,,PK,,"- Points to or grabs more when asked for ""more"" or ""all."""
Developmental Milestones,5.1.6.2.3,VI.A.12.c,Estimation Skills,,,,PK,,• Tries to guess how many toys are in a small group.
Standard,5.1.6.3,VI.A.11,Uses ordinal terms,,,,PK,,"- Says words like ""first"" and ""second"" to describe order."
Developmental Milestones,5.1.6.3.1,VI.A.11.a,Identifies and applies ordinal terms in daily activities and routines.,,,,PK,,"- Uses words like ""first,"" ""next,"" and ""last"" while playing or during routines."
Developmental Milestones,5.1.6.3.2,VI.A.11.b,Associates ordinal terms with numerical order and sequential tasks.,,,,PK,,"- Uses words like ""first"" and ""last"" when talking about numbers and tasks."
Developmental Milestones,5.1.6.3.3,VI.A.11.c,"Uses ordinal terms correctly in meaningful contexts, such as storytelling or game playing.",,,,PK,,"- Says ""first,"" ""second,"" and ""third"" while playing games or telling stories."
Standard,5.1.6.4,VI.A.8,Recognizes and names numerals 0-9,,,,PK,,- Points to and says the names of numbers 0-9.
Developmental Milestones,5.1.6.4.1,VI.A.8.a,Identifying Numerals,,,,PK,, Points to and names numbers in familiar books or toys.
Developmental Milestones,5.1.6.4.2,VI.A.8.b,Number Naming,,,,PK,, says the names of numbers during play.
Developmental Milestones,5.1.6.4.3,VI.A.8.c,Numeric Association,,,,PK,, Points to or touches objects when counting.
Developmental Milestones,5.1.6.4.4,VI.A.8.d,Recognizes and names numerals 0-10.,,,,PK,,- Points to and says numbers from 0 to 10.
Developmental Milestones,5.1.6.4.5,VI.A.8.e,Recognize that zero represents the count of no objects.,,,,PK,,"- Understand that ""none"" means no toys are left."
Standard,5.1.6.5,VI.A.6,Knows last count shows how many,,,,PK,,Counts objects and says the total.
Developmental Milestones,5.1.6.5.1,VI.A.6.a,Identifying Numerical Values,,,,PK,, Points to or touches objects while counting them out loud.
Developmental Milestones,5.1.6.5.2,VI.A.6.b,Understanding Sequence of Numbers,,,,PK,,"- Counts objects in order, like ""one, two, three."""
Developmental Milestones,5.1.6.5.3,VI.A.6.c,Associating Numbers with Quantity,,,,PK,," ""Points to or picks up the right number of toys when asked."""
Standard,5.1.6.6,VI.A.5,Know counting sequence is constant,,,,PK,, say numbers in the same order each time.
Developmental Milestones,5.1.6.6.1,VI.A.5.a,Recognizing and Identifying Numbers,,,,PK,, Points to and names familiar numbers.
Developmental Milestones,5.1.6.6.2,VI.A.5.b,Sequential Counting,,,,PK,, Count numbers in order during playtime.
Developmental Milestones,5.1.6.6.3,VI.A.5.c,Constant Counting Principle,,,,PK,, Count objects in a group without skipping any.
Standard,5.1.6.7,VI.A.1,Rote counts to 5,,,,PK,,Counts out loud up to 5.
Developmental Milestones,5.1.6.7.1,VI.A.1.a,Recognizes and Recites Numbers 1-5,,,,PK,,- Points to and says numbers 1-5.
Developmental Milestones,5.1.6.7.2,VI.A.1.b,Understands Sequential Order,,,,PK,, Puts toys away in a specific order.
Developmental Milestones,5.1.6.7.3,VI.A.1.c,Applies Counting in Practical Situations,,,,PK,,Counts objects during play.
Standard,5.1.6.8,VI.A.2,Rote counts to 10,,,,PK,,- Says numbers in order up to 10.
Developmental Milestones,5.1.6.8.1,VI.A.2.a,Recognizes Numbers,,,,PK,, Points to or touches numbers when asked.
Developmental Milestones,5.1.6.8.2,VI.A.2.b,Sequential Numbering,,,,PK,,"- Count objects in order like ""one, two, three."""
Developmental Milestones,5.1.6.8.3,VI.A.2.c,Repetitive Number Recital,,,,PK,,"- Counts numbers in order, like saying ""one, two, three."""
Standard,5.1.6.9,VI.A.3,Rote counts to 30,,,,PK,,- Says numbers in order up to 30.
Developmental Milestones,5.1.6.9.1,VI.A.3.a,Identifies Numbers Up to 30,,,,PK,,- Points to and names numbers up to 30.
Developmental Milestones,5.1.6.9.2,VI.A.3.b,Counts Sequentially,,,,PK,, says numbers one after another.
Developmental Milestones,5.1.6.9.3,VI.A.3.c,Demonstrates Understanding Through Counting Objects,,,,PK,, Counts small groups of objects with curiosity.
Developmental Milestones,5.1.6.9.4,VI.A.3.d,Count aloud forward in sequence by 1s to 20,,,,PK,,- Say numbers in order up to 20.
Standard,5.1.6.10,VI.A.4,Counts objects one per count 1-10,,,,PK,,- Points to and counts each object up to 10 one by one.
Developmental Milestones,5.1.6.10.1,VI.A.4.a,Object Recognition and 1:1 correspondence up to 10.,,,,PK,, Matches objects one-to-one up to ten items.
Developmental Milestones,5.1.6.10.2,VI.A.4.b,Sequential Number Identification,,,,PK,, Points to and names numbers in order.
Developmental Milestones,5.1.6.10.3,VI.A.4.c,One-to-One Correspondence,,,,PK,, Matches one object to each item in a group.
Standard,5.2,MATH.2,Child recognizes the number of objects in a small set (subitizing),,,,,,
Label,5.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.2.1.1,,"Explores objects by grasping and mouthing, noticing differences in size.",,,,,,
Label,5.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.2.2.1,,"Stacks or nests objects, such as cups or blocks.",,,,,,
Label,5.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.2.3.1,,Identifies “big” and “small” with prompts; begins to fill and empty containers.,,,,,,
Label,5.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.2.4.1,,"Uses terms like “on,” “under,” and “in” to describe object placement.",,,,,,
Label,5.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.2.5.1,MATH.2.a,Child can visually identify and name numbers 1-5 without counting.,,,,,,
Developmental Milestones,5.2.5.2,MATH.2.b,Child can group objects into sets equating to a given small number without counting.,,,,,,
Developmental Milestones,5.2.5.3,MATH.2.c,"Child can instantly recognize number patterns within 5 using arrays, dice patterns or fingers.",,,,,,
Label,5.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.2.6.1,VI.B.3,Separates items up to 10 into equal groups,,,,PK,,Divides up to 10 objects into equal groups.
Developmental Milestones,5.2.6.1.1,VI.B.3.a,'Recognizes and understands the concept of number equality',,,,PK,, Matches groups of objects with the same number.
Developmental Milestones,5.2.6.1.2,VI.B.3.b,'Identifies a collection of items up to 10 and can evenly distribute them',,,,PK,,- Counts and shares up to 10 toys or objects evenly with friends.
Developmental Milestones,5.2.6.1.3,VI.B.3.c,'Demonstrates basic understanding of division by separating items into equal groups',,,,PK,, Sorts toys into equal groups during play.
Standard,5.3,MATH.3,Child understands the relationship between numbers and quantities,,,,,,
Label,5.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.3.1.1,,"Reacts to repetitive sounds or movements, such as clapping.",,,,,,
Label,5.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.3.2.1,,"Imitates simple patterns in actions, such as banging two objects together.",,,,,,
Label,5.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.3.3.1,,Matches similar objects or colors to form simple sequences.,,,,,,
Label,5.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.3.4.1,,"Recognizes AB patterns (e.g., red-blue-red-blue).",,,,,,
Label,5.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.3.5.1,MATH.3.b,Child can order quantities according to number sequence,,,,,,
Developmental Milestones,5.3.5.2,MATH.3.c,Child can perform simple addition and subtraction with quantities,,,,,,
Developmental Milestones,5.3.5.3,MATH.3.a,Child can match numbers with corresponding quantities,,,,,,
Label,5.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.3.6.1,VI.A.7,Counts objects in any order,,,,PK,, Points to and Counts toys or items in any order.
Developmental Milestones,5.3.6.1.1,VI.A.7.a,Identification and Naming of Objects,,,,PK,,Points to and names familiar objects.
Developmental Milestones,5.3.6.1.2,VI.A.7.b,Understanding of Number Concepts,,,,PK,, Points to or touches objects while counting them.
Developmental Milestones,5.3.6.1.3,VI.A.7.c,Sequential Ordering and Counting,,,,PK,, Stack blocks in order while counting each one.
Developmental Milestones,5.3.6.1.4,VI.A.7.d,Count up to 5 items in a scattered configuration; not in a row or column.,,,,PK,,Point to and count up to 5 toys scattered on the floor.
Standard,5.3.6.2,VI.A.9,Connects numbers with quantities,,,,PK,, Matches numbers to the right number of objects.
Developmental Milestones,5.3.6.2.1,VI.A.9.a,Recognizes and Identifies Numerals,,,,PK,, Points to and names numbers they see.
Developmental Milestones,5.3.6.2.2,VI.A.9.b,Counting and Matching Quantities,,,,PK,, Points to and Counts objects during play.
Developmental Milestones,5.3.6.2.3,VI.A.9.c,Comparing and Contrasting Quantities,,,,PK,,Notice when one group of toys has more or fewer items than another.
Developmental Milestones,5.3.6.2.4,VI.A.9.d,Child represents quantities up to 10.,,,,PK,,- Counts up to 10 objects using fingers or words.
Developmental Milestones,5.3.6.2.5,VI.A.9.e,Child begins to understand that numbers 0-10 can be composed and decomposed in various ways to represent a quantity.,,,,PK,, groups and separates small sets of objects to show different ways to make the same number.
Standard,5.4,MATH.4,Child compares numbers,,,,,,
Label,5.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.4.1.1,,"Explores objects by mouthing, grasping, or banging, noticing different weights or textures.",,,,,,
Label,5.4.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.4.2.1,,Compares sizes by choosing larger or smaller objects.,,,,,,
Label,5.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.4.3.1,,Sorts objects by size or weight with guidance.,,,,,,
Label,5.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.4.4.1,,"Identifies objects as “big” or “small,” “heavy” or “light.”",,,,,,
Label,5.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.4.5.1,MATH.4.a,Child identifies larger and smaller quantities.,,,,,,
Developmental Milestones,5.4.5.2,MATH.4.c,Child can arrange numbers in ascending and descending order.,,,,,,
Developmental Milestones,5.4.5.3,MATH.4.b,"Child understands and uses terms related to quantity comparison (more, less, equal).",,,,,,
Label,5.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.4.6.1,VI.A.10,Compares quantities,,,,PK,, Notices when one group of toys has more than another.
Developmental Milestones,5.4.6.1.1,VI.A.10.a,Identifying More or Less,,,,PK,,Compare two groups of objects and point to the one with more or less items.
Developmental Milestones,5.4.6.1.2,VI.A.10.b,"Child compares sets of objects up to 10 using comparative language (e.g., greater/more than, less/fewer than, equal to/same number of).",,,,PK,, Points to or says which group of toys has more or fewer.
Developmental Milestones,5.4.6.1.3,VI.A.10.c,Estimation Skills,,,,PK,,Stacks blocks to match the height of a tower.
Standard,5.5,MATH.5,Child associates a quantity with written numerals up to 5 and begins to write numbers,,,,,,
Label,5.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.5.1.1,,"Notices different quantities (e.g., one toy versus many).",,,,,,
Label,5.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.5.2.1,,"Groups objects during play, such as stacking blocks or sorting rings",,,,,,
Label,5.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.5.3.1,,"Points to objects while attempting to count (e.g., “one, two”).",,,,,,
Label,5.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.5.4.1,,"Begins recognizing numerals (e.g., points to the “3” when prompted).",,,,,,
Label,5.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.5.5.1,MATH.5.a,Child recognizes and accurately counts objects up to five.,,,,,,
Developmental Milestones,5.5.5.2,MATH.5.c,Child begins to practice writing numerals up to five correctly.,,,,,,
Developmental Milestones,5.5.5.3,MATH.5.b,Child matches written numerals to their corresponding quantities up to five.,,,,,,
Label,5.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,5.5.6.1,VI.B.1,Uses objects/pictures to add up to 5 objects,,,,PK,,Counts up to 5 objects using toys or pictures.
Developmental Milestones,5.5.6.1.1,VI.B.1.a,Identifies and Counts Objects/Pictures,,,,PK,, Points to and Counts objects or pictures.
Developmental Milestones,5.5.6.1.2,VI.B.1.b,Understands the Concept of Addition,,,,PK,,Stacks blocks and counts them to see the total.
Developmental Milestones,5.5.6.1.3,VI.B.1.c,Applies Addition to Combine Objects/Pictures,,,,PK,, Puts together two groups of toys and Counts how many there are in total.
Standard,5.5.6.2,VI.B.2,Uses objects/pictures to subtract objects from set 0-5,,,,PK,,Takes away objects from a group of 0-5 using toys or pictures.
Developmental Milestones,5.5.6.2.1,VI.B.2.a,Applies subtraction using pictures/objects,,,,PK,, Takes away toys to see how many are left.
Standard,5.6,MATH.6,Child understands addition as adding to and understands subtraction as taking away from,,,,,,
Label,5.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,5.6.1.1,,"Watches as objects are added or removed (e.g., during play).",,,,,,
Label,5.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,5.6.2.1,,"Reacts to changes in quantities, such as surprise when objects disappear.",,,,,,
Label,5.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,5.6.3.1,,Combines or separates small groups of objects with guidance.,,,,,,
Label,5.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,5.6.4.1,,"Adds or removes items during play (e.g., “I’ll give you two blocks”).",,,,,,
Label,5.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,5.6.5.1,MATH.6.a,"""Child can use objects to demonstrate addition as 'adding to' in practical scenarios.""",,,,,,
Developmental Milestones,5.6.5.2,MATH.6.b,"""Child can apply the concept of 'taking away from' when solving simple subtraction problems.""",,,,,,
Developmental Milestones,5.6.5.3,MATH.6.c,"""Child can differentiate between addition and subtraction and identify their appropriate use in real-life situations.""",,,,,,
Label,5.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
