Human Coding Scheme,Full Statement,Type,Smart Level
"learned through listening to stories (CLLD2.2t)43 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to orally,Indicator,
"learned through listening to stories (CLLD2.2t)43 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to segment and,Indicator,
"learned through listening to stories (CLLD2.2t)43 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to identify the,Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Toddler,Developmental Indicator,6-14
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Toddler,Developmental Indicator,12-24
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Preschool,Developmental Indicator,22-36
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Preschool,Developmental Indicator,34-48
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",months,Developmental Indicator,44-60
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Identifies sounds,Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to connect,Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Can often write first,Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","For many, with",Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Recognizes many,Indicator,
"initial and final sound in words (e.g., /b/ in bat) (CLLD2.3l)44 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Will use a combination,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Toddler,Developmental Indicator,6-14
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Toddler,Developmental Indicator,12-24
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Preschool,Developmental Indicator,22-36
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Preschool,Developmental Indicator,34-48
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",months,Developmental Indicator,44-60
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Understands that,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Uses writing,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Writes in a linear,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to use scribbles,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Attempts to “read”,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to draw/write,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to draw/,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to use print,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to copy or,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to represent,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to recognize,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to distinguish,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to represent the,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Retells or reads,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Represents all letters,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to produce a,Indicator,
"of letters and symbols to represent  words (CLLD2.4i)45 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to copy names,Indicator,
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Toddler,Developmental Indicator,6-14
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Toddler,Developmental Indicator,12-24
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Preschool,Developmental Indicator,22-36
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Preschool,Developmental Indicator,34-48
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",months,Developmental Indicator,44-60
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to modify and,Indicator,
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to revise,Indicator,
"of familiar people and objects (CLLD3.1v)46 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to make a plan,Indicator,
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Infancy,Developmental Indicator,0-8
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Toddler,Developmental Indicator,6-14
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Toddler,Developmental Indicator,12-24
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsEarly Preschool,Developmental Indicator,22-36
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",monthsLater Preschool,Developmental Indicator,34-48
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",months,Developmental Indicator,44-60
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Begins to use a whole,Indicator,
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Becomes more skillful,Indicator,
"47 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA THREE: COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",Uses a variety of digital,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Infancy,Developmental Indicator,0-8
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsEarly Toddler,Developmental Indicator,6-14
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Toddler,Developmental Indicator,12-24
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsEarly Preschool,Developmental Indicator,22-36
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Preschool,Developmental Indicator,34-48
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),months,Developmental Indicator,44-60
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Uses their senses,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Turns head or body in,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Adjusts balance and,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Uses oral sensory,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Shows awareness,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),"Uses depth perception,",Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Uses touch to learn,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Combines information,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Shows understanding,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Shows increased,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Shows some awareness,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Learns about ways,Indicator,
sleep49 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Shows increasing,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Infancy,Developmental Indicator,0-8
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Toddler,Developmental Indicator,6-14
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Toddler,Developmental Indicator,12-24
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Preschool,Developmental Indicator,22-36
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Preschool,Developmental Indicator,34-48
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",months,Developmental Indicator,44-60
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Explores new body,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Manages moving,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Moves around in,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)","Develops strength,",Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Uses familiar objects,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Performs actions,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Understands that,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Moves body in space,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Demonstrates strength,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Uses a variety of toys,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Carries out activities,Indicator,
"awareness of body, space, and relationship to other objects to allow more coordinated movements, actions, and interactions with others (e.g., shows the ability to get in line with other children and walk in line) (HPD1.1r)50 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Shows awareness,Indicator,
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Infancy,Developmental Indicator,0-8
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsEarly Toddler,Developmental Indicator,6-14
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Toddler,Developmental Indicator,12-24
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsEarly Preschool,Developmental Indicator,22-36
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),monthsLater Preschool,Developmental Indicator,34-48
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),months,Developmental Indicator,44-60
of one's own body in relation to other people and objects while moving or dancing through space and at varying speeds and levels (HPD2.1q)51 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD),Uses each new position,Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Infancy,Developmental Indicator,0-8
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Toddler,Developmental Indicator,6-14
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Toddler,Developmental Indicator,12-24
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Preschool,Developmental Indicator,22-36
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Preschool,Developmental Indicator,34-48
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",months,Developmental Indicator,44-60
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Coordinates hands,Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Uses both hands to,Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)","Uses simple tools (e.g.,",Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Draws simple shapes,Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Uses tools that require,Indicator,
"stamina by spending extended periods of time playing and participating in activities that build strength, speed, flexibility, and coordination (e.g., tag, red light - green light) (HPD2.2f)52 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",Draws smaller figures,Indicator,
"and includes more detail (e.g., faces with features) (HPD3.1k)53 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Infancy,Developmental Indicator,0-8
"and includes more detail (e.g., faces with features) (HPD3.1k)53 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Toddler,Developmental Indicator,6-14
"and includes more detail (e.g., faces with features) (HPD3.1k)53 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsLater Toddler,Developmental Indicator,12-24
"and includes more detail (e.g., faces with features) (HPD3.1k)53 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA FOUR:  HEALTH AND PHYSICAL DEVELOPMENT (HPD)",monthsEarly Preschool,Developmental Indicator,22-36
