Age Group,Type,Developmental Indicator,Focus Area,SmartLevel,filename,Area,Sub Area
Toddler (12-24 months),indicator,"Uses figurines (e.g. action figures) to represent relationship, including age and ability","CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43c,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Toddler (12-24 months),indicator,Transitions between imagination and reality,"CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43a,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Two Year Old,indicator,Uses props and dramatic play to explore family and friends (e.g. baby doll on the back),"CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43f,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Two Year Old,indicator,"Uses props and dramatic play to act out emotions related to fear, excitement, happiness, sadness and anger","CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43e,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Three Year Old,indicator,"When engaged in role play, contributes dialogue, gesture, and facial expressions to convey meaning, ideas and feelings","CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43g,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Three Year Old,indicator,"With adult guiding dramatic play, explores character, plot and feeling","CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43h,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Four Year Old,indicator,Uses props and drama play to explore roles and themes in the greater community and world,"CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43i,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Four Year Old,indicator,"Negotiates roles and dialogue with peers in dramatic play (e.g. playwright, directors, actors)","CD4.3, Building understanding, empathy, and relationship skills through drama and theatre arts",CD43j,page_57.png,COGNITIVE DEVELOPMENT (CD),FINE ARTS
Early Infancy months,indicator,Seeks adult help when distressed with behavior of or interaction with peer,APL3.4. Inhibiting responses,APL3.4b,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
Later Infancy 6-14 months,indicator,Begin to take turns waiting for choice time activities for short periods of time with adult Support,APL3.4. Inhibiting responses,APL3.4a,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
Later Infancy 6-14 months,indicator,"With adult support, begins to use words, signs or gestures to express desires with peers (instead of biting or pushing)",APL3.4. Inhibiting responses,APL3.4c,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
Early Toddler 12-24 months,indicator,Begins to inhibit impulsive behaviors with adult support (e.g. inhibits initial response to call out an answer to a question during story time with educators reminder),APL3.4. Inhibiting responses,APL3.4d,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
[Age Group Not Specified],indicator,Control impulses with more independence (e.g. walks instead of runs; asks for a turn with a toy instead of grabbing; waits to share out instead of calling out),APL3.4. Inhibiting responses,APL3.4e,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
[Age Group Not Specified],indicator,Uses strategies to help control own actions more frequently such as creating physical distance or finding an alternative toy or activity,APL3.4. Inhibiting responses,APL3.4f,page_7.png,APPROACHES TO PLAY AND LEARNING (APL),APL3. EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION
Early Infancy (Birth - 8 months),indicator,"Explores objects by putting in mouth and then shaking, banging, etc. (APL3.3)",APL3.3 Thinking flexibly and adapting,APL3.3,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Infancy (Birth - 8 months),indicator,"Modifies expressions and actions based on others' responses (e.g., begins to smile in response to caregiver's smile) (APL3.3b)",APL3.3 Thinking flexibly and adapting,APL3.3b,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Later Infancy (6-14 months),indicator,Shows ability to shift focus to attend to something else (APL3.3),APL3.3 Thinking flexibly and adapting,APL3.3,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Later Infancy (6-14 months),indicator,Participates in a new activity or tries new ways to solve a problem with adult support (APL3.3e),APL3.3 Thinking flexibly and adapting,APL3.3e,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Toddler (12-24 months),indicator,Adjusts to changes in routines when informed in advance (APL3.3),APL3.3 Thinking flexibly and adapting,APL3.3,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Toddler (12-24 months),indicator,"Allows caregiver to interrupt an activity to perform a routine as long as the caregiver provides notice in advance (e.g., while playing with toys allows caregiver to wipe face) (APL3.3f)",APL3.3 Thinking flexibly and adapting,APL3.3f,page_6.png,APPROACHES TO PLAY AND LEARNING (APL),"APL3, EXECUTIVE FUNCTIONS AND COGNITIVE SELF-REGULATION"
Early Infancy (0-8 months),indicator,Responds to music by either quieting or becoming more active,CD4.2. Learning about and through music,CD4.2c,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Infancy (6-14 months),indicator,"Responds to music by changing expression, moving head or limbs, swaying, nodding, bouncing or clapping",CD4.2. Learning about and through music,CD4.2d,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Infancy (6-14 months),indicator,Turns attention to the source of sound and shows interest or pleasure when provided music,CD4.2. Learning about and through music,CD4.2e,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Infancy (6-14 months),indicator,"Initiates a steady beat with body parts (e.g., hitting a metal bowl with spoon, patting tray)",CD4.2. Learning about and through music,CD4.2g,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Early Toddler (12-24 months),indicator,"Asks with word, sign, or gesture for music again",CD4.2. Learning about and through music,CD4.2h,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Early Toddler (12-24 months),indicator,Participates in group singing,CD4.2. Learning about and through music,CD4.2i,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Older Toddler (24-36 months),indicator,Echoes short phrases of songs,CD4.2. Learning about and through music,CD4.2l,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Older Toddler (24-36 months),indicator,Changes the tempo of a beat between fast and slow,CD4.2. Learning about and through music,CD4.2m,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Older Toddler (24-36 months),indicator,Repeats short rhythmic patterns,CD4.2. Learning about and through music,CD4.2n,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Early Preschool (36-48 months),indicator,"Responds to and distinguishes between elements of music, including pitch, volume, tempo",CD4.2. Learning about and through music,CD4.2o,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Early Preschool (36-48 months),indicator,Shows preferences for music by requesting songs,CD4.2. Learning about and through music,CD4.2p,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,Participates in conversations about music dynamics including sound qualities and pitch (high or low),CD4.2. Learning about and through music,CD4.2q,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,Repeats longer rhythmic patterns,CD4.2. Learning about and through music,CD4.2r,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,"Creates beats, patterns or simple melodies using the voice or simple materials in the environment",CD4.2. Learning about and through music,CD4.2s,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,Sings alone and with others,CD4.2. Learning about and through music,CD4.2t,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,Creates original lyrics and songs,CD4.2. Learning about and through music,CD4.2u,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,Keeps a steady beat for a 16 count by patting body parts or using small instruments,CD4.2. Learning about and through music,CD4.2v,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,"Draws to represent patterns in sound (e.g., ""clap, clap, stomp, stomp"" drawn as ""dot, dot, dash, dash"")",CD4.2. Learning about and through music,CD4.2w,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Later Preschool (48-60 months),indicator,"Uses songs, simple instrument and found materials create music that expresses mood, story or relationships",CD4.2. Learning about and through music,CD4.2x,page_56.png,COGNITIVE DEVELOPMENT (CD),D4. FINE ARTS
Early Infancy 0-8 months,indicator,Sucks and swallows liquide fom breast or Doute,Eating with healthy habits,HPDS.33,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Infancy 0-8 months,indicator,eins ocx solid foods,Eating with healthy habits,HPD.38,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Later Infancy 6-14 months,indicator,"May begin to eat food with Rnges, ike smal Pieces of papaya and mango",Eating with healthy habits,HPD4.30,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Later Infancy 6-14 months,indicator,Shows preference for some foods,Eating with healthy habits,HPDS.3,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Toddler 12-24 months,indicator,Shows ineecin new foodetharare offered,Eating with healthy habits,arpa,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Toddler 12-24 months,indicator,Begins ditingush food tems,Eating with healthy habits,HPD4N,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Toddler 12-24 months,indicator,Btsstance by wing and wengamasningcgs,Eating with healthy habits,HPDs.3h,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Older Toddler 22-36 months,indicator,Eats a vain of nutious foods and recogni heaihy foods,Eating with healthy habits,HPDASQ,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Older Toddler 22-36 months,indicator,snacks with adule that fits and vegetables help out bodies move,Eating with healthy habits,HIDE,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Older Toddler 22-36 months,indicator,"Helps prepare nuts sacks, serving self and oxhers",Eating with healthy habits,HPDsk,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Preschool 34-48 months,indicator,"lees vacieny of Deal and unhealthy foods, sorting pcrues of fond by color ora ""alwaye"" and ""sometimes"" foods",Eating with healthy habits,HPD,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Preschool 34-48 months,indicator,Makes healthy eating choices Boch independenly and wich support,Eating with healthy habits,HPDS.3m,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Preschool 34-48 months,indicator,Follows picture recipes to prepare simple snack,Eating with healthy habits,HPDS30,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Later Preschool 44-60 months,indicator,Explains dh food provides energy for Inovemene,Eating with healthy habits,HPDS.3,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Later Preschool 44-60 months,indicator,ies a ae 1 ai,Eating with healthy habits,N/A,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Later Preschool 44-60 months,indicator,"Demonstrates an increasing undereanding ofthe ways in which Teal fod helps the body grow, lke saying. ""Mike makes my bones strong.""",Eating with healthy habits,HPD430,page_42.png,HEALTH AND PHYSICAL DEVELOPMENT (HPD),PHYSICAL HEALTH AND SELF-CARE
Early Infancy (0-8 months),indicator,Responds differently to familiar and unfamiliar adults (SED3.1a),SED3.1. Developing relationships with adults,a,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Infancy (0-8 months),indicator,Develops secure attachment to familiar adult (SED3.1b),SED3.1. Developing relationships with adults,b,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Infancy (0-8 months),indicator,Stops crying when picked up by a familiar adult (SED3.1c),SED3.1. Developing relationships with adults,c,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Later Infancy (6-14 months),indicator,Looks to familiar adults for emotional support and encouragement (SEP3.1d),SED3.1. Developing relationships with adults,d,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Later Infancy (6-14 months),indicator,Reacts or may become distressed when separated from familiar adults (SED3.1e),SED3.1. Developing relationships with adults,e,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Later Infancy (6-14 months),indicator,Expresses joy and mutual enjoyment in interactions with familiar adults (SED3.1f),SED3.1. Developing relationships with adults,f,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,"Continues to need the security of a trusted adult; seeks comfort from familiar adults when needed, in both verbal and nonverbal ways (e.g., says name of familiar adult, makes eye contact, reaches for trusted adult when frightened) (SED3.1g)",SED3.1. Developing relationships with adults,g,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,Reacts or may become distressed when separated from familiar adults (SED3.1h),SED3.1. Developing relationships with adults,h,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,"Uses different words or signs to refer to self and others (e.g., joyously shouts ""me!"" when asked who wants a turn) (SED3.1i)",SED3.1. Developing relationships with adults,i,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,"Imitates and attempts to initiate positive interactions with familiar adults (e.g., puts plates on table before lunch, follows adult's actions in play or daily routines) (SED3.1j)",SED3.1. Developing relationships with adults,j,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,Engages in positive interactions in a wide variety of situations with familiar adults (SED3.1k),SED3.1. Developing relationships with adults,k,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,Looks to or seeks familiar adults for comfort when distressed or tired (SED3.1l),SED3.1. Developing relationships with adults,l,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,Develops positive relationships and interacts comfortably with familiar adults (SED3.1m),SED3.1. Developing relationships with adults,m,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,"Begins to interact with less familiar adults (e.g., substitute caregiver, neighbor) (SED3.1n)",SED3.1. Developing relationships with adults,n,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,Shows enjoyment in interactions with trusted adults while also demonstrating skill in separating from these adults (SED3.1o),SED3.1. Developing relationships with adults,o,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Toddler (12-24 months),indicator,"Comfortable with being with less familiar adults in a safe setting (e.g., engages with visitor to home or classroom) (SED3.1p)",SED3.1. Developing relationships with adults,p,page_19.png,SOCIAL AND EMOTIONAL DEVELOPMENT (SED),SED3. INTERACTING WITH OTHERS
Early Infancy (0-8 months),indicator,"Uses sound, inflection, and gestures to communicate needs, desires or emotions",CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2a,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Early Infancy (0-8 months),indicator,"Cries, coos, babbles and makes other sounds",CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2b,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Later Infancy (6-14 months),indicator,Imitates actions of others through nonverbal communication,CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2f,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Later Infancy (6-14 months),indicator,Reaches and points,CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2g,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Later Infancy (6-14 months),indicator,Makes vocal or non-vocal protest/demands,CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2h,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Later Infancy (6-14 months),indicator,Vocalizes or gestures (e.g. pointing or using sign language) to get attention,CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2i,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Early Toddler (12-24 months),indicator,Repeats words heard in conversations,CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2j,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Early Toddler (12-24 months),indicator,"Participates in and initiates conversations with family members or familiar others by using consonant sounds, gestures, and some words",CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2k,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Early Toddler (12-24 months),indicator,"Makes simple one-word requests such as saying or signing ""milk"" or ""leche"" when asking for a drink",CLLD1.2. Using vocabulary and nonverbal cues to communicate,CLLD1.2l,page_25.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)",CLLD1. COMMUNICATION
Early Infancy (0-8 months),(CLLD3.1a),"Makes scribbles or distinct marks like swoops, circles, and waves to represent their ideas","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Infancy (6-14 months),(CLLD3.1b),Uses writing utensils to makes distinct marks,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Infancy (6-14 months),(CLLD3.1c),Writes in a linear fashion and connects marks with repetitive up/down or looping motions,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Toddler (12-24 months),(CLLD3.1d),Begins to use scribbles or intentional marks to represent objects,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Toddler (12-24 months),(CLLD3.1e),"Attempts to ""read"" their writing or drawing to others, including their name","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Preschool (24-36 months),(CLLD3.1f),"Begins to use distinct, letter-like symbols and letter formations with curves, lines, circles, and dots to represent words, ideas, phrases, sentences, and stories or events with or without drawing","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Preschool (24-36 months),(CLLD3.1g),Begins to draw/write for a variety of audiences (e.g. family members and teachers),"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Preschool (24-36 months),(CLLD3.1h),"Begins to draw/write for a variety of purposes (e.g. grocery list, invitations, birthday card)","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Preschool (24-36 months),(CLLD3.1i),"Begins to use letter strings or a group of letters to represent words, ideas, phrases, sentences, and stories or events","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1j),"Begins to attend to the spacing of their writing (e.g., attempts to copy a sign or poster in school)","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1k),Begins to copy or write letters or numbers,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1l),Begins to represent all letters in their name,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1m),Begins to recognize name as separate from other pictures or writing produced,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1n),Begins to distinguish print from images or illustrations,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1o),Begins to use initial letter sounds to represent a whole word (e.g. f for fish),"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1p),Begins to represent the initial and final sound to represent a word (e.g. d...g for dog),"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1q),Retells or reads their writing to others,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Later Preschool (36-48 months),(CLLD3.1r),"Represents all letters in their own name, with sequencing, positioning, and reversals still evidenced","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Primary (48-60 months),(CLLD3.1s),"Begins to produce a correct representation of their name using capital letters, lowercase letters, or a combination of both moving from left to right","CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Primary (48-60 months),(CLLD3.1t),Begins to copy names of familiar people and objects,"CLLD3.1. Drawing, scribbling, and writing to communicate",None,page_31.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD3, FOUNDATIONS OF WRITING"
Early Infancy 0-8 months,indicator,"Begin to recognize frequently seen letters (e.g., letters in own name)",CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4a,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Later Infancy 6-14 months,indicator,"Begins to recognize frequently seen letters (e.g., letters in own name)",CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4b,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Early Toddler 12-24 months,indicator,Recognizes sounds and recognizes letters associated with beginning of first name and last name,CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4c,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Early Preschool 24-36 months,indicator,"Begins to connect Alphabet letter and corresponding sounds (e.g., connecting names and sounds of common letter/words)",CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4d,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Preschool 36-48 months,indicator,Can often write first name from memory,CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4e,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Preschool 36-48 months,indicator,"For many, with instructional support, matches the sound with the corresponding letter",CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4f,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Pre-K 48-60 months,indicator,"For many, with instructional support, matches the letter with the corresponding sound",CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4g,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Pre-K 48-60 months,indicator,Recognizes many upper and lowercase letters,CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4h,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
Pre-K 48-60 months,indicator,Will use a combination of letters and symbols to represent words,CLLD2.4. Learning how letters and print work to create words and meaning,CLLD2.4i,page_30.png,"COMMUNICATION, LANGUAGE AND LITERACY DEVELOPMENT (CLLD)","CLLD2, FOUNDATIONS OF READING"
