Sequence,Human Code,Full Statement,CVR,Transition Gap,Progression Coherence,Overall Progression Score
6.1.2.5.2,PMP.2.E.2,"Somewhat aware of own body, space, and relationship to other objects. May have difficulty consistently coordinating motions and interactions with objects and other people.",-0.2,0.0,1.0,0.52
6.1.2.5.3,PMP.2.E.3,"Shows increasing awareness of body, space, and relationship to other objects in ways that allow for more coordinated movements, actions, and interactions with others.",-0.6,0.0,1.0,0.36
6.1.2.5.4,PMP.2.E.4,"Child can accurately interpret visual, auditory, and tactile information to determine distance, location, and characteristics of objects and beings.'",0.2,0.0,1.0,0.6799999999999999
6.1.2.6.1,PMP.2.F.1,Identifies/locates body parts,-0.2,0.0,1.0,0.52
6.1.2.6.2,PMP.2.F.2,Recognizes and names basic body parts,0.2,0.0,1.0,0.6799999999999999
6.1.2.6.3,PMP.2.F.3,Matches body parts to their functions,-0.2,0.0,1.0,0.52
6.1.2.6.4,PMP.2.F.4,Distinguishes external and internal body parts,0.2,0.0,1.0,0.6799999999999999
6.1.2.6.5,PMP.2.F.5,Demonstrates awareness of own body and other people's space during interactions.,-0.2,0.0,1.0,0.52
6.1.2.6.6,PMP.2.F.6,Guides body motions relative to other/objects,-0.2,0.0,1.0,0.52
6.1.2.6.7,PMP.2.F.8,Object Interaction,-0.2,0.0,1.0,0.52
6.1.2.6.8,PMP.2.F.9,Coordinated Movement,0.2,0.0,1.0,0.6799999999999999
6.1.2.6.9,PMP.2.F.7,Spatial Awareness,-0.6,0.0,1.0,0.36
6.1.2.6.10,PMP.2.F.10,"Moves body in relation to objects to effectively perform tasks, such as moving body in position to kick a ball.",-0.2,0.0,1.0,0.52
6.1.2.6.11,PMP.2.F.11,"When asked, can move own body in front of, to the side, or behind something or someone else, such as getting in line with other children.",-0.2,0.0,1.0,0.52
6.1.2.6.12,PMP.2.F.12,Changes directions when moving with little difficulty.,0.2,0.0,1.0,0.6799999999999999
6.2.1.1.1,PMP.3.A.1,"Grasps small objects with the whole hand (e.g., rattles or toys).",0.2,0.0,1.0,0.6799999999999999
6.2.1.2.1,PMP.3.C.1,"Uses a pincer grasp to pick up small items, like food or small toys.",-0.6,0.0,1.0,0.36
6.2.1.3.1,PMP.3.B.1,Stacks blocks and uses utensils with growing precision.,-0.2,0.0,1.0,0.52
6.2.1.4.1,PMP.3.D.1,Strings large beads and manipulates puzzle pieces.,-0.2,0.0,1.0,0.52
6.2.1.5.1,PMP.3.E.1,Child exhibits steady improvement in fine-motor tasks,-0.2,0.0,1.0,0.52
6.2.1.5.2,PMP.3.E.2,"Performs simple hand-eye tasks, such as drawing simple shapes like circles and cutting paper with scissors. May demonstrate limited precision and control in more complex tasks.",-0.2,0.0,1.0,0.52
6.2.1.5.3,PMP.3.E.3,Child displays growing strength in small muscle groups,-0.2,0.0,1.0,0.52
6.2.1.5.4,PMP.3.E.4,"Performs tasks that require more complex hand-eye coordination, such as cutting out shapes and drawing letter-like forms, with moderate levels of precision and control.",0.2,0.0,1.0,0.6799999999999999
6.2.1.5.5,PMP.3.E.5,Child demonstrates accurate handling and manipulation of objects,0.6,0.0,1.0,0.8400000000000001
6.2.1.6.1,PMP.3.F.1,Demonstrates control/strength of small muscles,0.2,0.0,1.0,0.6799999999999999
6.2.1.6.2,PMP.3.F.2,Demonstrates Fine Motor Skills,-0.2,0.0,1.0,0.52
6.2.1.6.3,PMP.3.F.3,Exhibit Manual Dexterity,-0.2,0.0,1.0,0.52
6.2.1.6.4,PMP.3.F.4,Show Hand-eye coordination,0.6,0.0,1.0,0.8400000000000001
6.2.1.6.5,PMP.3.F.5,"Easily coordinates hand and eye movements to carry out tasks, such as working on puzzles or stringing beads together.",-0.6,0.0,1.0,0.36
6.2.1.6.6,PMP.3.F.6,Demonstrates eye-hand coordination,0.6,0.0,1.0,0.8400000000000001
6.2.1.6.7,PMP.3.F.7,'Displays precision in grasping objects',-0.2,0.0,1.0,0.52
6.2.1.6.8,PMP.3.F.8,'Manages successful object transfer from one hand to another',-1.0,0.0,1.0,0.19999999999999996
6.2.1.6.9,PMP.3.F.9,'Accurately directs hand based on visual input',-0.2,0.0,1.0,0.52
6.2.1.6.10,PMP.3.F.10,"Uses a pincer grip to hold and manipulate tools for writing, drawing, and painting.",-0.2,0.0,1.0,0.52
6.2.1.6.11,PMP.3.F.11,"Uses coordinated movements to complete complex tasks, such as cutting along a line, pouring, or buttoning.",-0.6,0.0,1.0,0.36
6.2.2.1.1,PMP.4.A.1,Reacts positively to being cleaned or cared for by caregivers,0.2,0.0,1.0,0.6799999999999999
6.2.2.2.1,PMP.4.B.1,"Begins to assist in basic self-care tasks, such as holding out arms to put on clothes.",-0.2,0.0,1.0,0.52
6.2.2.3.1,PMP.4.C.1,"Attempts simple self-care tasks with assistance, such as washing hands or using a spoon.",0.2,0.0,1.0,0.6799999999999999
6.2.2.4.1,PMP.4.D.1,"Independently completes basic tasks, like washing hands with supervision.",0.2,0.0,1.0,0.6799999999999999
6.2.2.5.1,PMP.4.E.1,"Performs basic hygiene tasks such as washing hands, brushing teeth, and tidying up personal items independently.",-0.6,0.0,1.0,0.36
6.2.2.5.2,PMP.4.E.2,"Shows an awareness of personal hygiene and self-care skills, such as telling an adult it is important to wash hands before eating. May not complete or exhibit these skills regularly without adult guidance and supervision.",0.6,0.0,1.0,0.8400000000000001
6.2.2.5.3,PMP.4.E.3,Child understands the importance of a daily hygiene routine and can follow simple self-care instructions.,0.2,0.0,1.0,0.6799999999999999
6.2.2.5.4,PMP.4.E.4,Begins to take more responsibility for personal hygiene and self-care skills. Sometimes completes them without adult prompting.,-0.2,0.0,1.0,0.52
6.2.2.5.5,PMP.4.E.5,"Child recognizes the need for cleanliness and is able to identify when personal care, like using the restroom or cleaning up a spill, is needed.",0.6,0.0,1.0,0.8400000000000001
6.2.2.6.1,PMP.4.F.1,"Washes hands with soap and water. Knows to do this before eating, after using the bathroom, or after blowing nose.",-0.2,0.0,1.0,0.52
6.2.2.6.2,PMP.4.F.2,Practices personal health/hygiene,1.0,0.0,1.0,1.0
6.2.2.6.3,PMP.4.F.3,Demonstrates Basic Personal Hygiene Routines,0.2,0.0,1.0,0.6799999999999999
6.2.2.6.4,PMP.4.F.4,Understands the Importance of Dietary Health,0.2,0.0,1.0,0.6799999999999999
6.2.2.6.5,PMP.4.F.5,Displays Awareness of Physical Fitness,0.6,0.0,1.0,0.8400000000000001
6.2.2.6.6,PMP.4.F.6,"Demonstrates increasing ability to take responsibility for participating in personal self-care skills, such as brushing teeth or getting dressed.",0.2,0.0,1.0,0.6799999999999999
6.3.1.1.1,PMP.5.A.1,Shows interest in feeding times and observes adults eating.,0.2,0.0,1.0,0.6799999999999999
6.3.1.2.1,PMP.5.B.1,Explores different tastes and textures during mealtimes.,-0.6,0.0,1.0,0.36
6.3.1.3.1,PMP.5.C.1,Recognizes favorite healthy foods and begins asking for them by name.,-0.2,0.0,1.0,0.52
6.3.1.4.1,PMP.5.D.1,Demonstrates curiosity about food preparation by watching or helping caregivers.,-0.2,0.0,1.0,0.52
6.3.1.5.1,PMP.5.E.1,Understanding Nutrition,0.6,0.0,1.0,0.8400000000000001
6.3.1.5.2,PMP.5.E.2,Making Healthy Choices,-1.0,0.0,1.0,0.19999999999999996
6.3.1.5.3,PMP.5.E.3,Demonstrates a basic knowledge of the role of foods and nutrition in healthy development. Often requires adult guidance and supervision to make healthy eating choices.,-1.0,0.0,1.0,0.19999999999999996
6.3.1.5.4,PMP.5.E.4,Demonstrates an increasing understanding of the ways in which foods and nutrition help the body grow and be healthy. Makes healthy eating choices both independently and with support.,0.6,0.0,1.0,0.8400000000000001
6.3.1.5.5,PMP.5.E.5,Developing Healthy Eating Habits,-0.2,0.0,1.0,0.52
6.3.1.6.1,PMP.5.F.1,Identifies a variety of healthy and unhealthy foods.,0.6,0.0,1.0,0.8400000000000001
6.3.1.6.2,PMP.5.F.2,Identifies good nutrition/exercise habits,-0.6,0.0,1.0,0.36
6.3.1.6.3,PMP.5.F.3,Understands Basic Food Groups,-0.2,0.0,1.0,0.52
6.3.1.6.4,PMP.5.F.4,Differentiates Between Healthy and Unhealthy Foods,-0.6,0.0,1.0,0.36
6.3.1.6.5,PMP.5.F.5,Recognizes Physical Activity Importance,0.2,0.0,1.0,0.6799999999999999
6.3.1.6.6,PMP.5.F.6,Demonstrates basic understanding that eating a variety of foods helps the body grow and be healthy.,-0.2,0.0,1.0,0.52
6.3.1.6.7,PMP.5.F.7,Moderates food consumption based on awareness of own hunger and fullness.,0.6,0.0,1.0,0.8400000000000001
6.3.2.1.1,PMP.6.A.1,"Reacts to changes in their environment that signal safety or danger, such as loud noises or being held securely.",0.2,0.0,1.0,0.6799999999999999
6.3.2.2.1,PMP.6.B.1,"Understands simple safety instructions, like ""Stop"" or ""No.""",-0.6,0.0,1.0,0.36
6.3.2.3.1,PMP.6.C.1,"Begins to follow basic safety routines, such as holding hands while walking.",0.2,0.0,1.0,0.6799999999999999
6.3.2.4.1,PMP.6.D.1,"Anticipates safety rules during familiar routines, such as waiting before crossing the street.",-0.2,0.0,1.0,0.52
6.3.2.5.1,PMP.6.E.1,"Child can identify potential dangers in various environments (home, school, playground).",0.6,0.0,1.0,0.8400000000000001
6.3.2.5.2,PMP.6.E.2,Shows awareness of a growing number of personal safety practices and routines. Looks to adults for support in enacting these.,0.2,0.0,1.0,0.6799999999999999
6.3.2.5.3,PMP.6.E.3,"Child correctly follows personal safety routines like hand-washing, crossing the road, etc.",0.2,0.0,1.0,0.6799999999999999
6.3.2.5.4,PMP.6.E.4,Child exhibits understanding of how to seek help from trusted adults in unsafe or uncomfortable situations.,0.2,0.0,1.0,0.6799999999999999
6.3.2.5.5,PMP.6.E.5,Exhibits increasing independence in following basic personal safety practices and routines. Follows adult guidance around more complex practices.,0.2,0.0,1.0,0.6799999999999999
6.3.2.6.1,PMP.6.F.1,"Identifies, avoids, and alerts others to danger, such as keeping a safe distance from swings.",0.2,0.0,1.0,0.6799999999999999
6.3.2.6.2,PMP.6.F.2,Practices personal safety,-0.2,0.0,1.0,0.52
6.3.2.6.3,PMP.6.F.3,Demonstrates awareness of safety rules and guidelines,1.0,0.0,1.0,1.0
6.3.2.6.4,PMP.6.F.4,Shows understanding of personal boundaries and respect for others,-0.2,0.0,1.0,0.52
6.3.2.6.5,PMP.6.F.5,Displays skills in self-caution and awareness during physical activities,-0.2,0.0,1.0,0.52
6.3.2.6.6,PMP.6.F.6,"Identifies and follows basic safety rules with adult guidance and support, such as transportation and street safety practices.",-0.2,0.0,1.0,0.52
7.4.3.1,VIII.D.1.a,Recognizes the design and colors of the US flag.,-0.2,0.0,1.0,0.52
7.4.3.2,VIII.D.1.b,Distinguishes the state flag from other flags.,0.6,0.0,1.0,0.8400000000000001
7.4.3.3,VIII.D.1.c,Understands the symbolic meaning of the flags' components.,0.6,0.0,1.0,0.8400000000000001
7.4.4.1,VIII.D.2.a,Recognizes and Recites Pledge of Allegiance,0.6,0.0,1.0,0.8400000000000001
7.4.4.2,VIII.D.2.b,Understands the Meaning of the Pledge,-0.6,0.0,1.0,0.36
7.4.4.3,VIII.D.2.c,Demonstrates Proper Etiquette during the Pledge,0.2,0.0,1.0,0.6799999999999999
7.4.4.4,VIII.D.2.d,Child recites the Pledge of Allegiance to their state flag and understands what observing a moment of silence means.,0.2,0.0,1.0,0.6799999999999999
7.4.5.1,VIII.D.3.a,Understanding the Concept of Voting,0.6,0.0,1.0,0.8400000000000001
7.4.5.2,VIII.D.3.b,Expressing Personal Opinion,0.2,0.0,1.0,0.6799999999999999
7.4.5.3,VIII.D.3.c,Respecting Others' Opinions,-0.6,0.0,1.0,0.36
8.1.1.6.1,XI.A.1.a,Navigates and interacts with user-friendly interfaces.,-0.2,0.0,1.0,0.52
8.1.1.6.2,XI.A.1.c,Demonstrates responsiveness to digital feedback.,0.2,0.0,1.0,0.6799999999999999
8.1.1.6.3,XI.A.2.a,Identifies different digital tools.,1.0,0.0,1.0,1.0
8.1.1.6.4,XI.A.2.c,Applies digital tools in learning.,-0.2,0.0,1.0,0.52
8.2.1.6.1,XI.A.5.a,Identifies and avoid online risks such as chatting with strangers on games,0.2,0.0,1.0,0.6799999999999999
8.2.1.6.2,XI.A.5.c,Understands consequences of misusing technology,0.6,0.0,1.0,0.8400000000000001
8.3.1.6.1,XI.A.4.a,"Explores digital tools to find information, ask questions, and discover new ideas with guidance and support.",-0.2,0.0,1.0,0.52
